Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,N/A,PROFILING_ENABLE,48,5,0.020,1789112609260047.873	,1789112609260047.893	
2,Fill_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,2306,2.160,1789112609270284.677	,1789112609270286.837	
2,ZerosLike_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,2307,1.700,1789112609270332.618	,1789112609270334.318	
2,N/A,MEMCPY_ASYNC,47,2308,0.900,1789112609270867.069	,1789112609270867.969	
2,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2309,1.340,1789112609270949.871	,1789112609270951.211	
2,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2310,1.340,1789112609271011.572	,1789112609271012.912	
2,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2311,1.540,1789112609271022.432	,1789112609271023.972	
2,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2312,1.400,1789112609271060.633	,1789112609271062.033	
2,N/A,MEMCPY_ASYNC,47,2313,0.640,1789112609271236.536	,1789112609271237.176	
2,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2314,1.340,1789112609271266.397	,1789112609271267.737	
2,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2315,1.240,1789112609271298.778	,1789112609271300.018	
2,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2316,1.460,1789112609271307.198	,1789112609271308.658	
2,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2317,1.320,1789112609271309.798	,1789112609271311.118	
2,N/A,MEMCPY_ASYNC,47,2318,0.800,1789112609271445.481	,1789112609271446.281	
2,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2319,1.340,1789112609271475.901	,1789112609271477.241	
2,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2320,1.160,1789112609271505.922	,1789112609271507.082	
2,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2321,1.460,1789112609271517.162	,1789112609271518.622	
2,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2322,1.300,1789112609271519.722	,1789112609271521.022	
2,N/A,MEMCPY_ASYNC,47,2323,0.740,1789112609271639.304	,1789112609271640.044	
2,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2324,1.240,1789112609271670.805	,1789112609271672.045	
2,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2325,1.180,1789112609271701.906	,1789112609271703.086	
2,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2326,1.360,1789112609271714.706	,1789112609271716.066	
2,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2327,1.300,1789112609271717.226	,1789112609271718.526	
2,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,2328,1.480,1789112609271974.631	,1789112609271976.111	
2,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,2329,3.160,1789112609272036.292	,1789112609272039.452	
2,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,2330,2.860,1789112609272073.573	,1789112609272076.433	
