Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
4,allreduceAicpuKernel,AI_CPU,516,106748.032,164.203,206.876,524.13,29.593
4,IndexPut,AI_CPU,512,78821.478,123.003,153.948,285.646,21.851
4,MatMulV2,AI_CORE,1796,40396.948,9.52,22.493,168.804,11.199
4,Index,AI_CPU,128,24708.013,160.783,193.031,407.268,6.85
4,Mul,AI_VECTOR_CORE,3340,16878.408,1.38,5.053,14.161,4.679
4,Index,AI_VECTOR_CORE,1476,12572.448,6.74,8.518,19.621,3.485
4,Pows,AI_VECTOR_CORE,1028,8241.289,1.58,8.017,16.601,2.285
4,MemSet,AI_VECTOR_CORE,868,8033.379,5.38,9.255,23.961,2.227
4,FlashAttentionScore,MIX_AIC,256,7964.199,27.461,31.11,41.981,2.208
4,Slice,AI_VECTOR_CORE,2176,7764.417,1.34,3.568,7.24,2.152
4,ReduceMean,MIX_AIV,1028,7635.309,1.74,7.427,16.04,2.117
4,IndexCheck,AI_VECTOR_CORE,2120,7285.622,2.08,3.437,11.741,2.02
4,Cast,AI_VECTOR_CORE,2212,7252.528,1.08,3.279,12.82,2.011
4,Add,AI_VECTOR_CORE,2055,5481.508,1.16,2.667,12.08,1.52
4,NonZero,MIX_AIV,832,4099.16,4.34,4.927,9.48,1.136
4,Range,AI_VECTOR_CORE,390,3223.243,5.14,8.265,13.64,0.894
4,Transpose,AI_VECTOR_CORE,128,2363.347,14.38,18.464,24.541,0.655
4,ConcatD,AI_VECTOR_CORE,524,2217.447,3.9,4.232,15.54,0.615
4,Less,AI_VECTOR_CORE,201,1574.113,2.2,7.831,10.46,0.436
4,Rsqrt,AI_VECTOR_CORE,1028,1279.027,0.98,1.244,1.96,0.355
4,Swish,AI_VECTOR_CORE,256,1189.983,2.9,4.648,11.36,0.33
4,Neg,AI_VECTOR_CORE,512,910.578,1.08,1.778,4.52,0.252
4,allgatherAicpuKernel,AI_CPU,4,803.776,168.963,200.944,243.145,0.223
4,AsStrided,AI_VECTOR_CORE,128,621.553,4.34,4.856,6.08,0.172
4,broadcastAicpuKernel,AI_CPU,4,549.611,118.042,137.403,158.843,0.152
4,PadV3,MIX_AIV,36,418.308,8.16,11.62,29.901,0.116
4,MaskedFill,AI_CPU,5,408.568,60.501,81.714,96.742,0.113
4,LogicalNot,AI_VECTOR_CORE,265,375.308,1.18,1.416,1.84,0.104
4,LogicalAnd,AI_VECTOR_CORE,68,208.643,1.4,3.068,3.92,0.058
4,Tril,AI_VECTOR_CORE,64,161.944,1.96,2.53,3.24,0.045
4,BroadcastTo,AI_VECTOR_CORE,69,120.322,1.38,1.744,1.98,0.033
4,OnesLike,AI_VECTOR_CORE,64,104.282,1.5,1.629,1.96,0.029
4,Cumsum,AI_CPU,1,59.681,59.681,59.681,59.681,0.017
4,MaskedFill,AI_VECTOR_CORE,4,54.521,12.96,13.63,14.92,0.015
4,ZerosLike,AI_VECTOR_CORE,21,31.461,1.34,1.498,1.88,0.009
4,ReduceAny,MIX_AIV,11,27.361,1.9,2.487,3.06,0.008
4,ReduceMax,MIX_AIV,9,22.7,2.02,2.522,3.12,0.006
4,GreaterEqual,AI_VECTOR_CORE,8,21.1,2.28,2.637,2.98,0.006
4,GatherV2,AI_VECTOR_CORE,4,16.82,2.86,4.205,7.72,0.005
4,Sub,AI_VECTOR_CORE,5,14.14,2.36,2.828,3.16,0.004
4,IndexPutV2,AI_VECTOR_CORE,4,11.241,2.68,2.81,2.94,0.003
4,Cos,AI_VECTOR_CORE,4,9.76,2.2,2.44,2.98,0.003
4,Sin,AI_VECTOR_CORE,4,9.66,2.16,2.415,3.06,0.003
4,ReduceSum,MIX_AIV,3,8.84,2.56,2.946,3.14,0.002
4,Fill,AI_VECTOR_CORE,5,7.38,1.22,1.476,2.14,0.002
4,SelectV2,AI_VECTOR_CORE,3,6.18,1.9,2.06,2.18,0.002
4,LessEqual,AI_VECTOR_CORE,2,5.36,2.36,2.68,3,0.001
4,ClipByValueV2,AI_VECTOR_CORE,1,4.62,4.62,4.62,4.62,0.001
4,ArgMaxWithValue,AI_VECTOR_CORE,1,2.92,2.92,2.92,2.92,0.001
