Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,41.8,114.81,0,2.14,0,0
empty_tensor,,,16.01,16.01,0,0,0,0
aten::fill_,"4,8;
",,47.27,57.0,0,2.14,0,0
aclnnInplaceFillScalar,,,9.73,9.73,2.14,2.14,0,0
aten::zeros_like,"4,8;
;
;
;
;
",,28.57,80.28,0,1.6,0,0
aten::empty_like,"4,8;
;
;
;
;
",,25.12,36.65,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.92,11.53,0,0,0,0
empty_tensor,,,3.61,3.61,0,0,0,0
aten::zero_,"4,8",,12.78,15.06,0,1.6,0,0
aclnnInplaceZero,,,2.28,2.28,1.6,1.6,0,0
aten::empty,";
;
;
;
;
",,11.78,11.78,0,0,0,0
aten::to,"6;
;
;
;
;
",,3.8,80.21,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,9.62,76.41,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.49,8.34,0,0,0,0
empty_tensor,,,2.85,2.85,0,0,0,0
aten::copy_,"6;
6;
",,58.45,58.45,0,0,0,0
aten::lift_fresh,6,,20.26,20.26,0,0,0,0
aten::detach_,6,,1.02,1.02,0,0,0,0
aten::select,"4,8;
;
",,7.44,40.63,0,0,0,0
aten::as_strided,"4,8;
;
;
",,33.19,33.19,0,0,0,0
aten::slice,"8;
;
;
;
",,3.93,5.85,0,0,0,0
aten::as_strided,"8;
;
;
",,1.92,1.92,0,0,0,0
aten::copy_,"6;
6;
",,50.35,56.51,0,0.76,0,0
aclnnInplaceCopy,,,6.16,6.16,0.76,0.76,0,0
aten::scalar_tensor,";
;
;
;
",,5.73,29.24,0,1.36,0,0
aten::empty,";
;
;
;
;
",,2.58,7.35,0,0,0,0
empty_tensor,,,4.77,4.77,0,0,0,0
aten::fill_,";
",,10.9,16.16,0,1.36,0,0
aclnnInplaceFillScalar,,,5.26,5.26,1.36,1.36,0,0
aten::select,"4,8;
;
",,3.36,6.19,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.83,2.83,0,0,0,0
aten::slice,"8;
;
;
;
",,2.93,4.57,0,0,0,0
aten::as_strided,"8;
;
;
",,1.64,1.64,0,0,0,0
aten::view,";
",,2.71,2.71,0,0,0,0
aten::expand,";
;
",,2.87,5.07,0,0,0,0
aten::as_strided,";
;
;
",,2.2,2.2,0,0,0,0
aten::copy_,"6;
6;
",,14.51,19.38,0,4.4,0,0
aclnnInplaceCopy,,,4.87,4.87,4.4,4.4,0,0
aten::empty,";
;
;
;
;
",,4.0,4.0,0,0,0,0
aten::to,"8;
;
;
;
;
",,2.08,55.04,0,0,0,0
aten::_to_copy,"8;
;
;
;
;
;
",,4.42,52.96,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.39,7.79,0,0,0,0
empty_tensor,,,2.4,2.4,0,0,0,0
aten::copy_,"8;
8;
",,40.75,40.75,0,0,0,0
aten::lift_fresh,8,,1.05,1.05,0,0,0,0
aten::detach_,8,,0.63,0.63,0,0,0,0
aten::select,"4,8;
;
",,2.92,6.04,0,0,0,0
aten::as_strided,"4,8;
;
;
",,3.12,3.12,0,0,0,0
aten::copy_,"8;
8;
",,28.79,34.61,0,0.64,0,0
aclnnInplaceCopy,,,5.82,5.82,0.64,0.64,0,0
aten::scalar_tensor,";
;
;
;
",,3.77,24.76,0,1.32,0,0
aten::empty,";
;
;
;
;
",,2.26,6.34,0,0,0,0
empty_tensor,,,4.08,4.08,0,0,0,0
aten::fill_,";
",,10.14,14.65,0,1.32,0,0
aclnnInplaceFillScalar,,,4.51,4.51,1.32,1.32,0,0
aten::select,"4,8;
;
",,2.7,5.98,0,0,0,0
aten::as_strided,"4,8;
;
;
",,3.28,3.28,0,0,0,0
aten::view,";
",,2.47,2.47,0,0,0,0
aten::expand,";
;
",,2.08,3.83,0,0,0,0
aten::as_strided,";
;
;
",,1.75,1.75,0,0,0,0
aten::copy_,"8;
8;
",,13.8,18.36,0,3.94,0,0
aclnnInplaceCopy,,,4.56,4.56,3.94,3.94,0,0
aten::empty,";
;
;
;
;
",,4.27,4.27,0,0,0,0
aten::to,"6;
;
;
;
;
",,2.42,50.71,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,4.2,48.29,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.96,8.1,0,0,0,0
empty_tensor,,,2.14,2.14,0,0,0,0
aten::copy_,"6;
6;
",,35.99,35.99,0,0,0,0
aten::lift_fresh,6,,1.02,1.02,0,0,0,0
aten::detach_,6,,0.56,0.56,0,0,0,0
aten::select,"4,8;
;
",,3.2,5.91,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.71,2.71,0,0,0,0
aten::slice,"8;
;
;
;
",,2.82,4.32,0,0,0,0
aten::as_strided,"8;
;
;
",,1.5,1.5,0,0,0,0
aten::copy_,"6;
6;
",,29.89,35.67,0,0.76,0,0
aclnnInplaceCopy,,,5.78,5.78,0.76,0.76,0,0
aten::scalar_tensor,";
;
;
;
",,3.37,24.1,0,1.34,0,0
aten::empty,";
;
;
;
;
",,2.15,6.23,0,0,0,0
empty_tensor,,,4.08,4.08,0,0,0,0
aten::fill_,";
",,9.5,14.5,0,1.34,0,0
aclnnInplaceFillScalar,,,5.0,5.0,1.34,1.34,0,0
aten::select,"4,8;
;
",,3.12,5.82,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.7,2.7,0,0,0,0
aten::slice,"8;
;
;
;
",,2.9,4.52,0,0,0,0
aten::as_strided,"8;
;
;
",,1.62,1.62,0,0,0,0
aten::view,";
",,1.89,1.89,0,0,0,0
aten::expand,";
;
",,1.88,3.49,0,0,0,0
aten::as_strided,";
;
;
",,1.61,1.61,0,0,0,0
aten::copy_,"6;
6;
",,13.29,17.64,0,4.16,0,0
aclnnInplaceCopy,,,4.35,4.35,4.16,4.16,0,0
aten::empty,";
;
;
;
;
",,3.45,3.45,0,0,0,0
aten::to,"8;
;
;
;
;
",,1.71,49.19,0,0,0,0
aten::_to_copy,"8;
;
;
;
;
;
",,4.1,47.48,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.13,7.24,0,0,0,0
empty_tensor,,,2.11,2.11,0,0,0,0
aten::copy_,"8;
8;
",,36.14,36.14,0,0,0,0
