Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,IndexCheck_Tiling,4224.16,1288,3.28,0.13,31.27,13.271
host,acl,IndexPutV2_Tiling,53.27,4,13.318,12.31,14.04,0.487
host,acl,NonZero_Tiling,3442.4,1664,2.069,0.22,15.69,4.209
host,communication,Notify_Record,14797.95,524,28.24,21.33,72.59,27.316
host,communication,Notify_Wait,8803.92,524,16.801,13.54,63.26,11.162
host,acl,Slice_Tiling,3345.89,512,6.535,1.92,81.82,120.358
host,acl,aclmdlRICaptureGetInfo,1606.63,5504,0.292,0.12,24.76,0.148
host,acl,aclnnAdd,9894.28,1027,9.634,6.38,33.78,3.375
host,acl,aclnnAdds,8619.61,1028,8.385,5.66,20.5,1.552
host,acl,aclnnAny,161.88,11,14.716,7.85,49.01,123.34
host,acl,aclnnArange,3734.64,390,9.576,7.12,17.99,1.219
host,acl,aclnnBitwiseAndTensor,1598.34,68,23.505,9.63,54.87,31.979
host,acl,aclnnBitwiseNot,80.88,9,8.987,6.56,12.03,2.318
host,acl,aclnnCat,7947.21,524,15.166,9.51,104.29,19.668
host,acl,aclnnClampMin,13.46,1,13.46,13.46,13.46,0
host,acl,aclnnConstantPadNd,536.92,36,14.914,11.45,28.59,8.674
host,acl,aclnnCos,32.91,4,8.228,7.08,9.21,0.59
host,acl,aclnnCumsum,27.97,1,27.97,27.97,27.97,0
host,acl,aclnnCumsumGetWorkspaceSize,29.36,1,29.36,29.36,29.36,0
host,acl,aclnnEmbedding,41.25,4,10.313,8.16,14.07,5.044
host,acl,aclnnFlashAttentionScore,4270.67,256,16.682,13.19,41.12,6.064
host,acl,aclnnGeScalar,100.31,8,12.539,9.4,24.08,20.513
host,acl,aclnnIndex,40579.69,1604,25.299,10.22,278.23,806.057
host,acl,aclnnIndexGetWorkspaceSize,7295.18,128,56.994,44,193.02,327.649
host,acl,aclnnIndexPutImpl,17804.66,516,34.505,24.66,77.31,28.024
host,acl,aclnnIndexPutImplGetWorkspaceSize,16127.25,516,31.254,24.21,58.08,13.757
host,acl,aclnnInplaceCopy,18442.92,2191,8.418,5.28,59.12,6.681
host,acl,aclnnInplaceCopyGetWorkspaceSize,394.52,47,8.394,4.92,34.68,26.538
host,acl,aclnnInplaceFillScalar,168.42,5,33.684,7.98,126.08,2147.61
host,acl,aclnnInplaceMaskedFillScalar,169.7,9,18.856,9.29,36.37,66.896
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,82.41,5,16.482,11.94,29.93,46.251
host,acl,aclnnInplaceOne,574.11,64,8.97,7.11,18.16,2.24
host,acl,aclnnInplaceZero,242.82,21,11.563,7.61,60.75,122.207
host,acl,aclnnLeScalar,20.28,2,10.14,9.39,10.89,0.563
host,acl,aclnnLogicalNot,2142.68,256,8.37,6.28,15.75,0.735
host,acl,aclnnLtScalar,95.88,9,10.653,8.82,13.24,2.087
host,acl,aclnnLtTensor,1915.51,192,9.977,8.12,67.02,17.282
