Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PROFILING_ENABLE,48,5,0.000,1789112789455471.641	,1789112789455471.641	
1,OnesLike_5c5e58e043224cccf51a06108010ae13_high_performance_210000000,AI_VECTOR_CORE,47,5803,1.160,1789112789463416.939	,1789112789463418.099	
1,N/A,EVENT_RECORD,47,5804,0.020,1789112789463440.380	,1789112789463440.400	
1,N/A,EVENT_WAIT,45,24534,0.020,1789112789463443.640	,1789112789463443.660	
1,N/A,NOTIFY_RECORD,45,24535,0.100,1789112789463606.003	,1789112789463606.103	
1,N/A,NOTIFY_RECORD,10,35618,0.100,1789112789463682.405	,1789112789463682.505	
1,N/A,NOTIFY_WAIT,10,35619,56.001,1789112789463684.485	,1789112789463740.486	
1,N/A,NOTIFY_WAIT,12,35618,0.020,1789112789463691.745	,1789112789463691.765	
1,RunAicpuRpcSrvLaunchV2_allreduce,AI_CPU,12,35619,504.870,1789112789463707.625	,1789112789464212.495	
1,N/A,NOTIFY_WAIT,45,24536,14565.191,1789112789463712.065	,1789112789478277.256	
1,N/A,NOTIFY_RECORD_SQE,91,17809,0.020,1789112789463739.446	,1789112789463739.466	
1,N/A,EVENT_WAIT,47,5805,14450.948,1789112789463827.468	,1789112789478278.416	
1,N/A,NOTIFY_WAIT_SQE,90,58303,0.020,1789112789463986.351	,1789112789463986.371	
1,N/A,SDMA_SQE,90,58304,0.760,1789112789463986.391	,1789112789463987.151	
1,N/A,SDMA_SQE,90,58305,0.540,1789112789463987.191	,1789112789463987.731	
1,N/A,WRITE_VALUE_SQE,90,58306,0.340,1789112789463987.751	,1789112789463988.091	
1,N/A,NOTIFY_WAIT_SQE,90,58307,8542.510,1789112789463988.111	,1789112789472530.621	
1,N/A,SDMA_SQE,90,58308,0.660,1789112789472530.681	,1789112789472531.341	
1,N/A,WRITE_VALUE_SQE,90,58309,0.320,1789112789472531.361	,1789112789472531.681	
1,N/A,NOTIFY_WAIT_SQE,90,58310,0.020,1789112789472531.701	,1789112789472531.721	
1,N/A,SDMA_SQE,90,58311,0.540,1789112789472531.741	,1789112789472532.281	
1,N/A,WRITE_VALUE_SQE,90,58312,1.000,1789112789472532.301	,1789112789472533.302	
1,N/A,NOTIFY_WAIT_SQE,90,58313,29.140,1789112789472533.322	,1789112789472562.462	
1,N/A,SDMA_SQE,90,58314,1.160,1789112789472562.482	,1789112789472563.642	
1,N/A,WRITE_VALUE_SQE,90,58315,1.000,1789112789472563.662	,1789112789472564.662	
1,N/A,NOTIFY_WAIT_SQE,90,58316,0.020,1789112789472564.682	,1789112789472564.702	
1,N/A,SDMA_SQE,90,58317,0.580,1789112789472564.722	,1789112789472565.302	
1,N/A,WRITE_VALUE_SQE,90,58318,0.920,1789112789472565.322	,1789112789472566.242	
1,N/A,NOTIFY_WAIT_SQE,90,58319,5707.194,1789112789472566.262	,1789112789478273.456	
1,N/A,SDMA_SQE,90,58320,1.140,1789112789478273.496	,1789112789478274.636	
1,N/A,WRITE_VALUE_SQE,90,58321,0.920,1789112789478274.656	,1789112789478275.576	
1,N/A,NOTIFY_WAIT_SQE,90,58322,0.020,1789112789478275.596	,1789112789478275.616	
1,N/A,SDMA_SQE,90,58323,0.700,1789112789478275.656	,1789112789478276.356	
1,N/A,NOTIFY_RECORD_SQE,90,58324,0.000,1789112789478276.376	,1789112789478276.376	
1,N/A,EVENT_RECORD,45,24537,0.020,1789112789478277.396	,1789112789478277.416	
1,N/A,EVENT_RECORD,45,24538,0.020,1789112789478277.576	,1789112789478277.596	
1,N/A,EVENT_WAIT,45,24539,7.180,1789112789479022.711	,1789112789479029.891	
1,N/A,EVENT_RECORD,47,5806,0.020,1789112789479029.011	,1789112789479029.031	
1,N/A,NOTIFY_RECORD,45,24540,0.080,1789112789479149.974	,1789112789479150.054	
1,N/A,NOTIFY_WAIT,12,35620,7.240,1789112789479190.295	,1789112789479197.535	
1,N/A,NOTIFY_RECORD,10,35620,0.100,1789112789479196.455	,1789112789479196.555	
