Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,allreduceAicpuKernel,AI_CPU,533,109712.212,168.404,205.839,511.71,29.599
6,IndexPut,AI_CPU,512,81315.041,134.083,158.818,304.366,21.938
6,MatMulV2,AI_CORE,1796,40450.447,9.54,22.523,168.023,10.913
6,Index,AI_CPU,128,26944.659,178.684,210.505,304.366,7.269
6,Mul,AI_VECTOR_CORE,3340,16731.3,1.38,5.009,13.92,4.514
6,Index,AI_VECTOR_CORE,1481,12839.052,6.74,8.669,18.381,3.464
6,Pows,AI_VECTOR_CORE,1028,8881.257,1.56,8.639,18.441,2.396
6,FlashAttentionScore,MIX_AIC,256,7834.214,27.381,30.602,39.981,2.114
6,Slice,AI_VECTOR_CORE,2176,7723,1.36,3.549,6.9,2.084
6,Cast,AI_VECTOR_CORE,2211,7660.815,1.06,3.465,16.46,2.067
6,ReduceMean,MIX_AIV,1028,7451.687,1.78,7.249,13.88,2.01
6,IndexCheck,AI_VECTOR_CORE,2125,7262.468,2.08,3.418,7.82,1.959
6,MemSet,AI_VECTOR_CORE,868,6391.152,5.34,7.363,20.501,1.724
6,Add,AI_VECTOR_CORE,2055,5400.329,1.1,2.628,11.76,1.457
6,NonZero,MIX_AIV,832,4165.464,4.34,5.007,9.48,1.124
6,Range,AI_VECTOR_CORE,386,3608.732,8.72,9.349,15.52,0.974
6,broadcastAicpuKernel,AI_CPU,20,2868.017,109.242,143.401,238.425,0.774
6,Transpose,AI_VECTOR_CORE,128,2311.867,15.02,18.061,23.581,0.624
6,ConcatD,AI_VECTOR_CORE,520,2191.401,3.84,4.214,14.781,0.591
6,Less,AI_VECTOR_CORE,205,1591.191,2.28,7.762,10.16,0.429
6,Rsqrt,AI_VECTOR_CORE,1028,1279.665,0.96,1.245,1.88,0.345
6,Swish,AI_VECTOR_CORE,256,1055.539,2.6,4.123,8.1,0.285
6,Neg,AI_VECTOR_CORE,512,916.479,1.1,1.79,5.34,0.247
6,allgatherAicpuKernel,AI_CPU,4,771.956,168.604,192.989,219.345,0.208
6,UniqueWithCountsAndSorting,AI_CPU,4,643.153,137.523,160.788,194.564,0.174
6,AsStrided,AI_VECTOR_CORE,128,619.073,4.36,4.837,6.32,0.167
6,PadV3,MIX_AIV,36,405.688,9.4,11.269,18.86,0.109
6,LogicalNot,AI_VECTOR_CORE,265,384.166,1.18,1.45,1.76,0.104
6,MaskedFill,AI_CPU,5,342.007,54.101,68.401,100.742,0.092
6,LogicalAnd,AI_VECTOR_CORE,68,203.405,1.5,2.991,4.08,0.055
6,Tril,AI_VECTOR_CORE,64,161.624,2.06,2.525,3.06,0.044
6,BroadcastTo,AI_VECTOR_CORE,69,113.022,1.36,1.638,2.18,0.03
6,OnesLike,AI_VECTOR_CORE,68,106.483,1.1,1.566,1.9,0.029
6,MaskedFill,AI_VECTOR_CORE,4,49.441,11.7,12.36,13.14,0.013
6,Cumsum,AI_CPU,1,49.301,49.301,49.301,49.301,0.013
6,ReduceAny,MIX_AIV,19,42.96,1.86,2.261,3.26,0.012
6,ZerosLike,AI_VECTOR_CORE,21,32.461,1.3,1.546,1.94,0.009
6,GreaterEqual,AI_VECTOR_CORE,12,29.441,2.2,2.453,2.88,0.008
6,ReduceMax,MIX_AIV,9,21.041,1.94,2.338,2.62,0.006
6,GatherV2,AI_VECTOR_CORE,4,17.3,2.8,4.325,8.72,0.005
6,Sub,AI_VECTOR_CORE,5,13.6,2.34,2.72,2.92,0.004
6,IndexPutV2,AI_VECTOR_CORE,4,11.52,2.68,2.88,3.04,0.003
6,Cos,AI_VECTOR_CORE,4,9.8,2.22,2.45,3.12,0.003
6,Sin,AI_VECTOR_CORE,4,9.56,2.18,2.39,3,0.003
6,Fill,AI_VECTOR_CORE,5,7.44,1.26,1.488,2,0.002
6,SelectV2,AI_VECTOR_CORE,3,6.7,2.12,2.233,2.32,0.002
6,ReduceSum,MIX_AIV,2,5.62,2.48,2.81,3.14,0.002
6,LessEqual,AI_VECTOR_CORE,2,5.5,2.52,2.75,2.98,0.001
6,ClipByValueV2,AI_VECTOR_CORE,1,5.18,5.18,5.18,5.18,0.001
6,ArgMaxWithValue,AI_VECTOR_CORE,1,2.52,2.52,2.52,2.52,0.001
