Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::empty,";
;
;
;
;
",,20.88,44.76,0,0,0,0
empty_tensor,,,23.88,23.88,0,0,0,0
c10d::barrier,"1;
;
;
;
",,84.46,228.41,0,12585.4715,0,0
aten::ones,";
;
;
;
",,96.84,122.84,0,1.10025,0,0
empty_tensor,,,5.71,5.71,0,0,0,0
aclnnInplaceOne,,,20.29,20.29,1.10025,1.10025,0,0
record_event,,,6.62,6.62,0.02,0.02,0,0
wait_event,,,3.37,3.37,0.0,0.0,0,0
HcclAllreduce,1,,3.91,5.37,0,12584.31125,0,0
HcclAllreduce,,,1.46,1.46,12584.31125,12584.31125,0,0
record_event,,,3.59,3.59,0.02,0.02,0,0
record_event,,,2.16,2.16,0.02,0.02,0,0
wait_event,,,2.1,2.1,11816.456,11816.456,0,0
destroy_event,,,10.32,10.32,0,0,0,0
aten::empty,";
;
;
;
;
",,17.47,17.47,0,0,0,0
aten::to,"3;
;
;
;
;
",,9.02,300.62,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,14.9,291.6,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,25.45,31.23,0,0,0,0
empty_tensor,,,5.78,5.78,0,0,0,0
aten::copy_,"3;
3;
",,245.47,245.47,0,0,0,0
aten::lift_fresh,3,,5.3,5.3,0,0,0,0
aten::detach_,3,,2.23,2.23,0,0,0,0
c10d::broadcast_,";
;
;
;
;
",,52.66,84.59,0,446.34900000000005,0,0
record_event,,,10.94,10.94,0.02,0.02,0,0
wait_event,,,4.12,4.12,1.16,1.16,0,0
HcclBroadcast,3,,3.86,6.97,0,445.129,0,0
HcclBroadcast,,,3.11,3.11,445.129,445.129,0,0
record_event,,,5.59,5.59,0.02,0.02,0,0
record_event,,,4.31,4.31,0.02,0.02,0,0
wait_event,,,2.45,2.45,31.30075,31.30075,0,0
destroy_event,,,1.71,1.71,0,0,0,0
aten::to,"3;
;
;
;
;
;
;
",,7.0,395.96,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,6.34,388.96,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,6.51,6.51,0,0,0,0
aten::copy_,"3;
3;
",,376.11,376.11,0,0,0,0
aten::resolve_conj,3,,2.8,2.8,0,0,0,0
aten::resolve_neg,3,,5.78,5.78,0,0,0,0
minigpt::decode_phase,,,55.82,1760.11,0,1516.9905,0,0
minigpt::decode_control,,,402.72,1704.29,0,1516.9905,0,0
aten::zeros,";
;
;
;
",,9.4,75.6,0,1.34,0,0
empty_tensor,,,9.38,9.38,0,0,0,0
aten::zero_,3,,45.96,56.82,0,1.34,0,0
aclnnInplaceZero,,,10.86,10.86,1.34,1.34,0,0
c10d::broadcast_,";
;
;
;
;
",,40.34,69.15,0,428.00875,0,0
record_event,,,11.14,11.14,0.02,0.02,0,0
wait_event,,,5.08,5.08,8.84025,8.84025,0,0
HcclBroadcast,3,,2.26,4.05,0,419.10850000000005,0,0
HcclBroadcast,,,1.79,1.79,419.10850000000005,419.10850000000005,0,0
record_event,,,6.25,6.25,0.02,0.02,0,0
record_event,,,2.29,2.29,0.02,0.02,0,0
wait_event,,,3.37,3.37,102.962,102.962,0,0
destroy_event,,,1.57,1.57,0,0,0,0
aten::to,"3;
;
;
;
;
;
;
",,4.29,325.69,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,7.43,321.4,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.29,7.29,0,0,0,0
aten::copy_,"3;
3;
",,306.68,306.68,0,0,0,0
aten::resolve_conj,3,,2.15,2.15,0,0,0,0
aten::resolve_neg,3,,0.89,0.89,0,0,0,0
aten::empty,";
;
;
;
;
",,5.27,5.27,0,0,0,0
