Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,IndexCheck_Tiling,4125.78,1288,3.203,0.16,42.14,10.854
host,acl,IndexPutV2_Tiling,47.6,4,11.9,10.7,14.97,3.154
host,acl,NonZero_Tiling,3513.66,1664,2.112,0.19,15.43,3.866
host,communication,Notify_Record,14111.71,557,25.335,18.05,59.85,16.338
host,communication,Notify_Wait,8616.91,557,15.47,13.13,23.24,1.46
host,acl,Slice_Tiling,2397.47,512,4.683,2.21,45.16,28.155
host,acl,aclmdlRICaptureGetInfo,1584.19,5850,0.271,0.12,1.98,0.039
host,acl,aclnnAdd,9083.2,1027,8.844,5.91,35.7,2.228
host,acl,aclnnAdds,8204.01,1028,7.981,5.63,46.91,2.702
host,acl,aclnnAny,208.6,19,10.979,8.26,15.95,4.883
host,acl,aclnnArange,3472.26,386,8.995,6.64,13.53,0.743
host,acl,aclnnBitwiseAndTensor,1381.41,68,20.315,9.1,33.97,10.732
host,acl,aclnnBitwiseNot,83.2,9,9.244,7.62,12.91,2.501
host,acl,aclnnCat,7223.77,520,13.892,8.55,29.6,2.315
host,acl,aclnnClampMin,11.7,1,11.7,11.7,11.7,0
host,acl,aclnnConstantPadNd,489.78,36,13.605,11.41,21.47,3.717
host,acl,aclnnCos,39.02,4,9.755,8.9,11.33,0.927
host,acl,aclnnCumsum,28.77,1,28.77,28.77,28.77,0
host,acl,aclnnCumsumGetWorkspaceSize,27.66,1,27.66,27.66,27.66,0
host,acl,aclnnEmbedding,41.35,4,10.338,9.21,11.37,0.918
host,acl,aclnnFlashAttentionScore,3998.33,256,15.618,12.73,26.85,3.162
host,acl,aclnnGeScalar,118.81,12,9.901,8.87,12.73,1.462
host,acl,aclnnIndex,38365.96,1609,23.845,9.64,171.58,597.666
host,acl,aclnnIndexGetWorkspaceSize,6997.37,128,54.667,43.63,100.52,90.459
host,acl,aclnnIndexPutImpl,16564.46,516,32.102,24.1,152.61,51.347
host,acl,aclnnIndexPutImplGetWorkspaceSize,16715.38,516,32.394,24.18,66.88,18.177
host,acl,aclnnInplaceCopy,17153.8,2190,7.833,4.78,42.55,4.15
host,acl,aclnnInplaceCopyGetWorkspaceSize,443.42,47,9.434,4.8,46.4,60.27
host,acl,aclnnInplaceFillScalar,92.14,5,18.428,7.82,53.52,314.764
host,acl,aclnnInplaceMaskedFillScalar,148.12,9,16.458,8.26,34.06,60.32
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,92.71,5,18.542,13.83,31.18,41.051
host,acl,aclnnInplaceOne,630.84,68,9.277,6.12,67.73,52.717
host,acl,aclnnInplaceZero,268.46,25,10.738,2,24.44,23.779
host,acl,aclnnLeScalar,19.6,2,9.8,8.84,10.76,0.922
host,acl,aclnnLogicalNot,1997.17,256,7.801,5.84,10.27,0.243
host,acl,aclnnLtScalar,126.82,13,9.755,6.79,14.25,4.43
host,acl,aclnnLtTensor,1738.56,192,9.055,6.24,11.54,0.433
host,acl,aclnnMatmul,15993.7,1796,8.905,7.07,44.46,3.11
host,acl,aclnnMax,111.96,9,12.44,9.33,16.79,5.462
host,acl,aclnnMaxDim,19.69,1,19.69,19.69,19.69,0
host,acl,aclnnMean,11321.81,1028,11.013,7.78,54.66,3.668
host,acl,aclnnMul,26394.56,3340,7.903,4.9,40.87,3.188
host,acl,aclnnNeg,6917.6,512,13.511,10.89,44.04,5.522
host,acl,aclnnNonzero,48452.87,64,757.076,97.48,2363.65,285466.983
host,acl,aclnnNonzeroGetWorkspaceSize,1900.06,64,29.688,26.01,68.66,32.347
host,acl,aclnnNonzeroV2,302055.74,768,393.302,62.82,4207.67,338885.975
host,acl,aclnnNonzeroV2GetWorkspaceSize,15652,768,20.38,13.28,116.84,46.305
host,acl,aclnnPowTensorScalar,8559.2,1028,8.326,5.02,50.25,2.908
host,acl,aclnnReduceSum,33.64,2,16.82,10.94,22.7,34.574
host,acl,aclnnRsqrt,7183.8,1028,6.988,4.77,50.54,5.86
host,acl,aclnnSWhere,32.12,3,10.707,9.19,13.48,3.857
host,acl,aclnnSilu,2133.73,256,8.335,6.49,16.18,0.905
host,acl,aclnnSin,34.87,4,8.718,6.35,12.56,5.365
host,acl,aclnnSubs,50.2,5,10.04,8.72,12.39,1.716
host,acl,aclnnTril,485.65,64,7.588,5.89,12.11,0.757
host,acl,aclnnUnique2,1004.83,4,251.207,231.31,288.81,499.195
host,acl,aclnnUnique2GetWorkspaceSize,78.33,4,19.582,16.99,24.4,8.11
host,acl,aclrtCreateEventExWithFlag,2520.92,1370,1.84,0.57,69.55,5.255
host,acl,aclrtCtxSetSysParamOpt,16585.57,36336,0.456,0.17,19.98,0.08
host,acl,aclrtDestroyEvent,1167.3,1323,0.882,0.48,3.46,0.11
host,acl,aclrtFree,101.01,20,5.051,3.31,9.23,2.864
host,acl,aclrtGetCurrentContext,246.76,557,0.443,0.26,0.96,0.008
host,acl,aclrtGetDeviceCount,2.51,2,1.255,1.08,1.43,0.031
host,acl,aclrtGetHardwareSyncAddr,1010.66,2182,0.463,0.24,1.38,0.023
host,acl,aclrtGetResInCurrentThread,1105.31,3066,0.361,0.1,1.67,0.071
host,acl,aclrtGetStreamAttribute,4879.78,19282,0.253,0.15,41.64,0.091
host,acl,aclrtLaunchKernelWithHostArgs,123828.02,24236,5.109,2.01,50.15,3.328
host,acl,aclrtMallocWithCfg,214.24,20,10.712,5.89,26.27,38.049
host,acl,aclrtMemcpy,19700,951,20.715,14.61,124.91,57.764
host,acl,aclrtMemcpyAsync,393.78,51,7.721,3.09,25.42,30.715
host,acl,aclrtQueryEventStatus,272.18,512,0.532,0.32,4.83,0.063
host,acl,aclrtRecordEvent,11840.73,1927,6.145,2.91,16.38,3.821
host,acl,aclrtRecordNotify,5469.71,1114,4.91,3.38,36.17,1.537
host,acl,aclrtStreamGetId,378,1114,0.339,0.18,0.83,0.017
host,acl,aclrtStreamWaitEvent,7042.67,1370,5.141,4.13,47.19,3.444
host,acl,aclrtSynchronizeDeviceWithTimeout,16358.02,6,2726.337,20.91,10495.4,12571742.526
host,acl,aclrtSynchronizeStream,307936.38,891,345.608,1.76,4128.06,321049.208
host,acl,aclrtSynchronizeStreamWithTimeout,15749.9,896,17.578,1.09,2006.58,18513.726
host,acl,aclrtWaitAndResetNotify,6110.38,1671,3.657,1.1,45.3,4.427
host,acl,hcom_allGather_,612.46,4,153.115,131.28,180.24,306.951
host,acl,hcom_allReduce_,75194.7,533,141.078,100.98,308.69,599.586
host,acl,hcom_broadcast_,2917.35,20,145.868,110.33,204.93,634.149
host,node,launch,556011.14,24793,22.426,2.44,4165.56,16497.272
