Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,NonZero_Tiling,36.87,2,18.435,3.39,33.48,226.352
host,communication,Notify_Record,13230.15,524,25.248,20.68,132.4,36.936
host,communication,Notify_Wait,8708.41,524,16.619,14.4,50.37,5.459
host,acl,aclmdlRICaptureGetInfo,1595.77,5504,0.29,0.13,12.99,0.07
host,acl,aclnnAdd,9978.94,1024,9.745,6.29,41.2,3.942
host,acl,aclnnAdds,8904.43,1028,8.662,6.41,28.13,2.082
host,acl,aclnnAny,167.26,13,12.866,8.63,24.13,15.539
host,acl,aclnnArange,83.33,8,10.416,8.54,15.37,3.964
host,acl,aclnnArgMax,61.14,4,15.285,14.86,15.95,0.193
host,acl,aclnnBitwiseAndTensor,2344.05,260,9.016,7.8,17.88,1.383
host,acl,aclnnBitwiseNot,112.62,12,9.385,7.51,17.74,6.82
host,acl,aclnnCat,7673.4,523,14.672,8.63,44.08,5.775
host,acl,aclnnClampMin,43.15,4,10.788,9.59,13.22,2.09
host,acl,aclnnConstantPadNd,190.97,12,15.914,10.88,24.95,14.047
host,acl,aclnnCos,39.47,4,9.868,8.75,12.91,3.092
host,acl,aclnnCumsum,67.56,4,16.89,14.41,21.45,7.536
host,acl,aclnnCumsumGetWorkspaceSize,84.61,4,21.153,18.98,26.27,8.814
host,acl,aclnnEmbedding,44.02,4,11.005,9.32,13.97,3.117
host,acl,aclnnFlashAttentionScore,5428.94,256,21.207,17.26,39.89,5.557
host,acl,aclnnGeScalar,88.55,8,11.069,9.57,16.11,5.151
host,acl,aclnnIndex,105.8,5,21.16,16.27,35.13,49.333
host,acl,aclnnInplaceCopy,20462.82,2360,8.671,5.27,41.84,4.614
host,acl,aclnnInplaceCopyGetWorkspaceSize,319.83,22,14.538,5.64,50.09,90.948
host,acl,aclnnInplaceFillScalar,158.21,6,26.368,9.92,97.62,1028.661
host,acl,aclnnInplaceMaskedFillScalar,229.75,12,19.146,8.49,51.7,123.307
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,124.06,8,15.508,10.5,25.37,21.007
host,acl,aclnnInplaceOne,2127.45,259,8.214,6.94,25.83,3.053
host,acl,aclnnInplaceZero,101.85,9,11.317,8.34,16.86,10.273
host,acl,aclnnLeScalar,17.38,1,17.38,17.38,17.38,0
host,acl,aclnnLogicalNot,2037.66,256,7.96,6.85,13.41,0.724
host,acl,aclnnLtScalar,123.64,12,10.303,8.43,17.67,6.648
host,acl,aclnnMatmul,16355.75,1796,9.107,6.12,19.16,1.233
host,acl,aclnnMaxDim,89.2,4,22.3,15.78,29.53,40.492
host,acl,aclnnMean,11126.87,1028,10.824,7.76,33.11,3.47
host,acl,aclnnMul,32287.72,3340,9.667,5.68,34.73,10.397
host,acl,aclnnNeg,7190.62,512,14.044,11.73,45.49,4.921
