Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,32.25,188.73,0,2.64,0,0
empty_tensor,,,33.32,33.32,0,0,0,0
aten::fill_,"1,544;
",,106.06,123.16,0,2.64,0,0
aclnnInplaceFillScalar,,,17.1,17.1,2.64,2.64,0,0
aten::zeros_like,"1,544;
;
;
;
;
",,13.57,71.1,0,1.76,0,0
aten::empty_like,"1,544;
;
;
;
;
",,15.84,32.1,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,12.96,16.26,0,0,0,0
empty_tensor,,,3.3,3.3,0,0,0,0
aten::zero_,"1,544",,21.3,25.43,0,1.76,0,0
aclnnInplaceZero,,,4.13,4.13,1.76,1.76,0,0
aten::empty,";
;
;
;
;
",,16.64,16.64,0,0,0,0
aten::to,"544;
;
;
;
;
",,7.11,153.65,0,0,0,0
aten::_to_copy,"544;
;
;
;
;
;
",,13.83,146.54,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,6.79,10.15,0,0,0,0
empty_tensor,,,3.36,3.36,0,0,0,0
aten::copy_,"544;
544;
",,122.56,122.56,0,0,0,0
aten::lift_fresh,544,,5.83,5.83,0,0,0,0
aten::detach_,544,,1.44,1.44,0,0,0,0
aten::select,"1,544;
;
",,17.36,26.52,0,0,0,0
aten::as_strided,"1,544;
;
;
",,9.16,9.16,0,0,0,0
aten::copy_,"544;
544;
",,131.32,143.41,0,0.66,0,0
aclnnInplaceCopy,,,12.09,12.09,0.66,0.66,0,0
aten::scalar_tensor,";
;
;
;
",,10.8,40.71,0,1.4,0,0
aten::empty,";
;
;
;
;
",,3.1,10.09,0,0,0,0
empty_tensor,,,6.99,6.99,0,0,0,0
aten::fill_,";
",,15.32,19.82,0,1.4,0,0
aclnnInplaceFillScalar,,,4.5,4.5,1.4,1.4,0,0
aten::select,"1,544;
;
",,3.81,6.64,0,0,0,0
aten::as_strided,"1,544;
;
;
",,2.83,2.83,0,0,0,0
aten::view,";
",,4.41,4.41,0,0,0,0
aten::expand,";
;
",,4.85,7.95,0,0,0,0
aten::as_strided,";
;
;
",,3.1,3.1,0,0,0,0
aten::copy_,"544;
544;
",,16.71,25.7,0,4.5,0,0
aclnnInplaceCopy,,,8.99,8.99,4.5,4.5,0,0
minigpt::prefill_phase,,,138.57,206124.71,0,624188.92,0,80925.4
minigpt::prefill_model,,,39039.4,191662.5,0,623924.3,0,80925.4
