Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
1,MatMulV2,AI_CORE,1796,320103.834,20.08,178.232,676.534,49.578
1,allreduceAicpuKernel,AI_CPU,516,88397.048,148.943,171.312,461.909,13.691
1,Mul,AI_VECTOR_CORE,3340,59136.704,4.64,17.706,31.801,9.159
1,FlashAttentionScore,MIX_AIC,256,34150.626,129.683,133.401,138.763,5.289
1,Transpose,AI_VECTOR_CORE,1024,26237.702,17.101,25.623,38.941,4.064
1,ReduceMean,MIX_AIV,1028,19746.394,12.861,19.209,27.301,3.058
1,Cast,AI_VECTOR_CORE,2087,19080.417,1.24,9.143,13.461,2.955
1,Pows,AI_VECTOR_CORE,1028,18614.594,13.14,18.108,24.061,2.883
1,Add,AI_VECTOR_CORE,2052,18194.503,1.36,8.867,30.181,2.818
1,AsStrided,AI_VECTOR_CORE,1024,9108.384,5.94,8.895,12.501,1.411
1,Swish,AI_VECTOR_CORE,256,5805.176,22.281,22.676,23.341,0.899
1,LogicalAnd,AI_VECTOR_CORE,260,4430.59,1.44,17.041,18.961,0.686
1,Tril,AI_VECTOR_CORE,256,4332.905,12.74,16.925,20.801,0.671
1,Neg,AI_VECTOR_CORE,512,4115.983,7.56,8.039,10.1,0.637
1,ConcatD,AI_VECTOR_CORE,523,3954.495,2.52,7.561,18.561,0.612
1,LogicalNot,AI_VECTOR_CORE,268,2361.229,1.26,8.811,14.7,0.366
1,OnesLike,AI_VECTOR_CORE,259,2341.77,1.56,9.042,14.66,0.363
1,Rsqrt,AI_VECTOR_CORE,1028,2144.477,1.22,2.086,4.34,0.332
1,broadcastAicpuKernel,AI_CPU,4,730.815,158.863,182.704,207.484,0.113
1,MaskedFill,AI_CPU,8,708.574,56.301,88.572,118.363,0.11
1,allgatherAicpuKernel,AI_CPU,4,684.814,121.723,171.203,252.725,0.106
1,Cumsum,AI_CPU,4,261.645,61.401,65.411,68.741,0.041
1,PadV3,MIX_AIV,12,160.965,9.62,13.414,18.981,0.025
1,MaskedFill,AI_VECTOR_CORE,4,132.123,30.941,33.031,34.301,0.02
1,MemSet,AI_VECTOR_CORE,13,100.401,5.54,7.723,10.82,0.016
1,Range,AI_VECTOR_CORE,8,75.082,8.62,9.385,10.14,0.012
1,GatherV2,AI_VECTOR_CORE,4,69.501,17.34,17.375,17.4,0.011
1,ArgMaxWithValue,AI_VECTOR_CORE,4,58.602,13.801,14.65,14.961,0.009
1,Index,AI_VECTOR_CORE,5,54.541,8.4,10.908,20.58,0.008
1,Cos,AI_VECTOR_CORE,4,41.42,10.22,10.355,10.44,0.006
1,TensorMove,AI_VECTOR_CORE,4,40.581,10.02,10.145,10.34,0.006
1,Less,AI_VECTOR_CORE,12,35.422,2.5,2.952,3.28,0.005
1,Sin,AI_VECTOR_CORE,4,35.181,8.64,8.795,8.98,0.005
1,ReduceAny,MIX_AIV,13,30.581,1.28,2.352,3.44,0.005
1,Sub,AI_VECTOR_CORE,8,26.761,3,3.345,3.7,0.004
1,NonZero,MIX_AIV,1,25.961,25.961,25.961,25.961,0.004
1,ClipByValueV2,AI_VECTOR_CORE,4,24.481,5.88,6.12,6.26,0.004
1,IndexCheck,AI_VECTOR_CORE,5,24.481,2.68,4.896,13.16,0.004
1,ZerosLike,AI_VECTOR_CORE,13,23.64,1.44,1.818,2.08,0.004
1,GreaterEqual,AI_VECTOR_CORE,8,23.6,2.58,2.95,3.36,0.004
1,Fill,AI_VECTOR_CORE,6,9.5,1.32,1.583,2.4,0.001
1,BroadcastTo,AI_VECTOR_CORE,5,8.04,1.42,1.608,1.74,0.001
1,ReduceSum,MIX_AIV,1,5.86,5.86,5.86,5.86,0.001
1,LessEqual,AI_VECTOR_CORE,1,2.74,2.74,2.74,2.74,0
