Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,BroadcastTo_Tiling,99.63,4,24.908,19.09,34.52,34.945
host,acl,IndexCheck_Tiling,4730.97,1288,3.673,0.14,14.22,14.442
host,acl,IndexPutV2_Tiling,38.95,4,9.737,8.28,11.07,1.069
host,acl,NonZero_Tiling,4098.59,1664,2.463,0.24,23.13,5.252
host,communication,Notify_Record,15259.11,524,29.12,23.95,75.77,15.9
host,communication,Notify_Wait,9024.12,524,17.222,14.78,42.76,3.593
host,acl,Slice_Tiling,2595.19,512,5.069,1.88,61.48,52.763
host,acl,Transpose_Tiling,316.95,128,2.476,0.31,15.23,4.462
host,acl,aclmdlRICaptureGetInfo,1645.79,5504,0.299,0.12,1.3,0.051
host,acl,aclnnAdd,10085.5,1027,9.82,6.12,42.16,5.554
host,acl,aclnnAdds,8925.64,1028,8.683,5.93,20.57,0.812
host,acl,aclnnAny,187.25,11,17.023,8.89,47.12,134.578
host,acl,aclnnArange,3726.53,390,9.555,7.78,16.29,0.553
host,acl,aclnnArgMax,64.33,4,16.083,14.14,19.12,3.513
host,acl,aclnnBitwiseAndTensor,685.71,68,10.084,7.64,51.11,42.623
host,acl,aclnnBitwiseNot,89.43,9,9.937,8.33,14.95,4.471
host,acl,aclnnCat,7531.15,520,14.483,9.42,30.88,1.928
host,acl,aclnnClampMin,10.83,1,10.83,10.83,10.83,0
host,acl,aclnnConstantPadNd,187.55,12,15.629,11.6,24.43,11.351
host,acl,aclnnCos,36.36,4,9.09,8.21,10.78,0.993
host,acl,aclnnCumsum,27.32,1,27.32,27.32,27.32,0
host,acl,aclnnCumsumGetWorkspaceSize,33.84,1,33.84,33.84,33.84,0
host,acl,aclnnEmbedding,42.55,4,10.638,9.12,13.1,2.718
host,acl,aclnnFlashAttentionScore,4321.1,256,16.879,13.22,105.31,47.446
host,acl,aclnnGeScalar,272.59,8,34.074,9.23,199.47,3909.094
host,acl,aclnnIndex,40344.47,1604,25.152,10.91,183.22,771.355
host,acl,aclnnIndexGetWorkspaceSize,7970.21,128,62.267,57.95,119.01,42.722
host,acl,aclnnIndexPutImpl,17420.28,516,33.76,24.28,143.79,66.838
host,acl,aclnnIndexPutImplGetWorkspaceSize,21020.16,516,40.737,24.93,81.12,152.743
host,acl,aclnnInplaceCopy,17494.4,2161,8.096,5.12,65.1,3.684
host,acl,aclnnInplaceCopyGetWorkspaceSize,259.13,20,12.957,5.86,28.48,26.964
host,acl,aclnnInplaceFillScalar,90.74,2,45.37,23.53,67.21,476.986
host,acl,aclnnInplaceMaskedFillScalar,170.09,9,18.899,8.59,35.3,62.659
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,84.95,5,16.99,12.99,20.17,8.336
host,acl,aclnnInplaceOne,584.59,67,8.725,6.58,12.6,1.451
host,acl,aclnnInplaceZero,81.15,5,16.23,8.76,31.39,81.183
host,acl,aclnnLeScalar,40.92,2,20.46,9.85,31.07,112.572
host,acl,aclnnLogicalNot,2218.37,256,8.666,7.27,29.79,3.381
host,acl,aclnnLtScalar,98.81,9,10.979,8.25,16.42,7.746
host,acl,aclnnLtTensor,1706.55,192,8.888,7.69,12.34,0.231
host,acl,aclnnMatmul,16557.18,1796,9.219,5.83,58.34,3.193
