Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,48,5,0.000,1789111507499662.995	,1789111507499662.995	
0,Fill_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,797,2.440,1789111507508786.555	,1789111507508788.995	
0,ZerosLike_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,798,1.780,1789111507508816.335	,1789111507508818.115	
0,N/A,MEMCPY_ASYNC,47,799,0.800,1789111507509136.715	,1789111507509137.515	
0,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,800,1.660,1789111507509220.855	,1789111507509222.515	
0,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,801,1.600,1789111507509267.475	,1789111507509269.075	
0,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,802,1.480,1789111507509278.155	,1789111507509279.635	
0,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,803,1.620,1789111507509291.715	,1789111507509293.335	
0,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,804,1.520,1789111507509375.875	,1789111507509377.395	
0,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,805,6.200,1789111507509405.015	,1789111507509411.215	
0,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,AI_VECTOR_CORE,47,806,2.700,1789111507509433.535	,1789111507509436.235	
0,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_1000500,MIX_AIV,47,807,1.560,1789111507509475.215	,1789111507509476.775	
0,Range_a32d70ed63082227463347a44bd5a08e_high_performance__kernel0,AI_VECTOR_CORE,47,808,8.360,1789111507509629.815	,1789111507509638.175	
0,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,809,1.420,1789111507509706.355	,1789111507509707.775	
0,N/A,MEMCPY_ASYNC,47,810,0.560,1789111507509773.435	,1789111507509773.995	
