Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
1,MatMulV2,AI_CORE,1796,167196.361,8.32,93.094,678.314,28.122
1,allreduceAicpuKernel,AI_CPU,516,113405.487,168.383,219.778,501.27,19.075
1,IndexPut,AI_CPU,512,106993.879,135.763,208.972,593.892,17.996
1,Index,AI_CPU,128,68939.235,469.929,538.588,749.655,11.596
1,Mul,AI_VECTOR_CORE,3340,21872.736,1.5,6.549,28.921,3.679
1,Index,AI_VECTOR_CORE,1476,16101.316,6.74,10.909,35.761,2.708
1,FlashAttentionScore,MIX_AIC,256,15531.352,34.841,60.669,135.503,2.612
1,ReduceMean,MIX_AIV,1028,9810.173,1.86,9.543,25.461,1.65
1,Pows,AI_VECTOR_CORE,1028,9267.607,1.66,9.015,18.841,1.559
1,IndexCheck,AI_VECTOR_CORE,2120,8473.662,1.86,3.997,16.5,1.425
1,MemSet,AI_VECTOR_CORE,844,7382.165,5.42,8.747,20.321,1.242
1,Add,AI_VECTOR_CORE,2055,6882.536,1.2,3.349,25.021,1.158
1,Transpose,AI_VECTOR_CORE,320,6857.938,14.56,21.431,34.701,1.154
1,Cast,AI_VECTOR_CORE,2078,6827.673,1.08,3.286,11.58,1.148
1,Slice,AI_VECTOR_CORE,2048,6288.709,1.36,3.071,5.12,1.058
1,Range,AI_VECTOR_CORE,390,3008.601,4.62,7.714,14.08,0.506
1,NonZero,MIX_AIV,832,3004.72,2.7,3.611,9,0.505
1,ConcatD,AI_VECTOR_CORE,520,2642.79,3.42,5.082,19.121,0.445
1,AsStrided,AI_VECTOR_CORE,256,2280.609,5.96,8.909,12.82,0.384
1,Swish,AI_VECTOR_CORE,256,2077.3,2.86,8.114,24.021,0.349
1,Neg,AI_VECTOR_CORE,512,1611.369,1.18,3.147,9.02,0.271
1,Rsqrt,AI_VECTOR_CORE,1028,1512.07,1.12,1.471,4.14,0.254
1,LogicalAnd,AI_VECTOR_CORE,68,963.86,1.34,14.174,15.701,0.162
1,Tril,AI_VECTOR_CORE,64,912.238,13.68,14.254,14.72,0.153
1,broadcastAicpuKernel,AI_CPU,4,878.898,164.383,219.724,306.526,0.148
1,LogicalNot,AI_VECTOR_CORE,265,877.778,1.24,3.312,11.74,0.148
1,allgatherAicpuKernel,AI_CPU,4,662.473,150.943,165.618,201.664,0.111
1,Less,AI_VECTOR_CORE,201,625.293,2.22,3.111,3.64,0.105
1,OnesLike,AI_VECTOR_CORE,67,614.792,1.56,9.176,15.16,0.103
1,MaskedFill,AI_CPU,5,488.73,76.202,97.746,123.463,0.082
1,PadV3,MIX_AIV,12,163.143,9.38,13.595,19.601,0.027
1,Cumsum,AI_CPU,1,82.322,82.322,82.322,82.322,0.014
1,GatherV2,AI_VECTOR_CORE,4,46.581,9.72,11.645,17.08,0.008
1,MaskedFill,AI_VECTOR_CORE,4,46.521,3.2,11.63,36.321,0.008
1,GreaterEqual,AI_VECTOR_CORE,8,22.221,2.36,2.778,3.3,0.004
1,ReduceAny,MIX_AIV,11,18.54,1.28,1.685,3.1,0.003
1,ReduceSum,MIX_AIV,3,17.66,5.72,5.886,6.04,0.003
1,ReduceMax,MIX_AIV,9,16.66,1.66,1.851,2.08,0.003
1,Cos,AI_VECTOR_CORE,4,15,2,3.75,8.84,0.003
1,Sin,AI_VECTOR_CORE,4,14.92,1.98,3.73,8.74,0.003
1,ZerosLike,AI_VECTOR_CORE,9,14.88,1.44,1.653,1.98,0.003
1,ArgMaxWithValue,AI_VECTOR_CORE,1,13.98,13.98,13.98,13.98,0.002
1,Sub,AI_VECTOR_CORE,5,13.28,2.36,2.656,3.24,0.002
1,TensorMove,AI_VECTOR_CORE,1,11.2,11.2,11.2,11.2,0.002
1,IndexPutV2,AI_VECTOR_CORE,4,9.321,2.2,2.33,2.48,0.002
1,BroadcastTo,AI_VECTOR_CORE,5,7.9,1.44,1.58,1.88,0.001
1,SelectV2,AI_VECTOR_CORE,3,7.46,2.38,2.486,2.54,0.001
1,ClipByValueV2,AI_VECTOR_CORE,1,5.7,5.7,5.7,5.7,0.001
1,LessEqual,AI_VECTOR_CORE,2,5.38,2.52,2.69,2.86,0.001
1,Fill,AI_VECTOR_CORE,2,3.94,1.52,1.97,2.42,0.001
