Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,71.86,230.31,0,2.42,0,0
empty_tensor,,,53.71,53.71,0,0,0,0
aten::fill_,"1,544;
",,84.9,104.74,0,2.42,0,0
aclnnInplaceFillScalar,,,19.84,19.84,2.42,2.42,0,0
aten::zeros_like,"1,544;
;
;
;
;
",,24.19,101.63,0,1.74025,0,0
aten::empty_like,"1,544;
;
;
;
;
",,19.12,54.74,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,30.65,35.62,0,0,0,0
empty_tensor,,,4.97,4.97,0,0,0,0
aten::zero_,"1,544",,19.87,22.7,0,1.74025,0,0
aclnnInplaceZero,,,2.83,2.83,1.74025,1.74025,0,0
aten::empty,";
;
;
;
;
",,14.95,14.95,0,0,0,0
aten::to,"544;
;
;
;
;
",,5.77,117.27,0,0,0,0
aten::_to_copy,"544;
;
;
;
;
;
",,16.18,111.5,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.76,10.58,0,0,0,0
empty_tensor,,,2.82,2.82,0,0,0,0
aten::copy_,"544;
544;
",,84.74,84.74,0,0,0,0
aten::lift_fresh,544,,17.17,17.17,0,0,0,0
aten::detach_,544,,1.28,1.28,0,0,0,0
aten::select,"1,544;
;
",,13.32,33.32,0,0,0,0
aten::as_strided,"1,544;
;
;
",,20.0,20.0,0,0,0,0
aten::copy_,"544;
544;
",,118.13,129.2,0,0.64,0,0
aclnnInplaceCopy,,,11.07,11.07,0.64,0.64,0,0
aten::scalar_tensor,";
;
;
;
",,10.16,46.4,0,1.52,0,0
aten::empty,";
;
;
;
;
",,3.17,11.06,0,0,0,0
empty_tensor,,,7.89,7.89,0,0,0,0
aten::fill_,";
",,16.84,25.18,0,1.52,0,0
aclnnInplaceFillScalar,,,8.34,8.34,1.52,1.52,0,0
aten::select,"1,544;
;
",,4.63,8.21,0,0,0,0
aten::as_strided,"1,544;
;
;
",,3.58,3.58,0,0,0,0
aten::view,";
",,5.77,5.77,0,0,0,0
aten::expand,";
;
",,4.5,8.32,0,0,0,0
aten::as_strided,";
;
;
",,3.82,3.82,0,0,0,0
aten::copy_,"544;
544;
",,22.9,26.7,0,4.08,0,0
aclnnInplaceCopy,,,3.8,3.8,4.08,4.08,0,0
minigpt::prefill_phase,,,145.58,320818.53,0,584528.357,0,81142.08025
minigpt::prefill_model,,,50141.04,319920.53,0,583846.62325,0,81142.08025
aten::to,"1,544;
;
;
;
",,5.11,49.36,0,1.52025,0,0
aten::_to_copy,"1,544;
;
;
;
;
;
",,5.51,44.25,0,1.52025,0,0
aten::empty_strided,";
;
;
;
;
",,8.94,12.25,0,0,0,0
empty_tensor,,,3.31,3.31,0,0,0,0
aten::copy_,"1,544;
1,544;
",,17.1,26.49,0,1.52025,0,0
aclnnInplaceCopy,,,9.39,9.39,1.52025,1.52025,0,0
aten::sum,"1,544;
;
;
",,27.69,40.67,0,6.04,0,0
empty_tensor,,,4.72,4.72,0,0,0,0
aclnnReduceSum,,,8.26,8.26,6.04,6.04,0,0
aten::le,"1;
",,20.73,26.83,0,2.86025,0,0
empty_tensor,,,3.6,3.6,0,0,0,0
aclnnLeScalar,,,2.5,2.5,2.86025,2.86025,0,0
aten::any,1,,31.66,37.28,0,1.42,0,0
empty_tensor,,,3.31,3.31,0,0,0,0
aclnnAny,,,2.31,2.31,1.42,1.42,0,0
aten::is_nonzero,,,40.96,323.55,0,0,0,0
aten::item,,,6.2,282.59,0,0,0,0
aten::_local_scalar_dense,,,276.39,276.39,0,0,0,0
aten::arange,";
;
;
;
",,31.04,47.33,0,13.54025,0,0
empty_tensor,,,7.08,7.08,0,0,0,0
aclnnArange,,,9.21,9.21,13.54025,13.54025,0,0
aten::expand_as,"544;
1,544",,5.61,16.1,0,0,0,0
aten::expand,"544;
;
",,5.53,10.49,0,0,0,0
aten::as_strided,"544;
;
;
",,4.96,4.96,0,0,0,0
aten::to,"1,544;
;
;
;
",,1.67,1.67,0,0,0,0
aten::bitwise_not,"1,544",,48.64,61.03,0,1.36,0,0
empty_tensor,,,4.93,4.93,0,0,0,0
aclnnBitwiseNot,,,7.46,7.46,1.36,1.36,0,0
aten::masked_fill,"1,544;
1,544;
",,62.39,215.41,0,95.08200000000001,0,0
aten::clone,"1,544;
",,6.44,73.1,0,0.54,0,0
empty_tensor,,,3.95,3.95,0,0,0,0
aten::copy_,"1,544;
1,544;
",,54.42,62.71,0,0.54,0,0
aclnnInplaceCopy,,,8.29,8.29,0.54,0.54,0,0
aten::masked_fill_,"1,544;
1,544;
",,71.24,79.92,0,94.542,0,0
aclnnInplaceMaskedFillScalar,,,8.68,8.68,94.542,94.542,0,0
aten::max,"1,544;
;
",,24.8,34.9,0,15.36025,0,0
empty_tensor,,,5.17,5.17,0,0,0,0
empty_tensor,,,2.43,2.43,0,0,0,0
aclnnMaxDim,,,2.5,2.5,15.36025,15.36025,0,0
aten::lt,"1;
",,21.53,26.75,0,3.02,0,0
empty_tensor,,,2.73,2.73,0,0,0,0
aclnnLtScalar,,,2.49,2.49,3.02,3.02,0,0
aten::any,1,,15.09,20.95,0,1.28,0,0
empty_tensor,,,3.92,3.92,0,0,0,0
aclnnAny,,,1.94,1.94,1.28,1.28,0,0
aten::is_nonzero,,,20.3,256.39,0,0,0,0
aten::item,,,4.94,236.09,0,0,0,0
aten::_local_scalar_dense,,,231.15,231.15,0,0,0,0
aten::to,"1,544;
;
;
;
",,12.29,117.27,0,1.30025,0,0
aten::_to_copy,"1,544;
;
;
;
;
;
",,19.62,104.98,0,1.30025,0,0
aten::empty_strided,";
;
;
;
;
",,21.38,33.66,0,0,0,0
empty_tensor,,,12.28,12.28,0,0,0,0
aten::copy_,"1,544;
1,544;
",,42.92,51.7,0,1.30025,0,0
aclnnInplaceCopy,,,8.78,8.78,1.30025,1.30025,0,0
aten::sum,"1,544;
;
;
",,22.54,32.71,0,5.9,0,0
empty_tensor,,,5.59,5.59,0,0,0,0
aclnnReduceSum,,,4.58,4.58,5.9,5.9,0,0
aten::max,1,,17.15,21.82,0,2.08,0,0
empty_tensor,,,2.79,2.79,0,0,0,0
aclnnMax,,,1.88,1.88,2.08,2.08,0,0
aten::item,,,4.33,165.56,0,0,0,0
aten::_local_scalar_dense,,,161.23,161.23,0,0,0,0
aten::to,"1,544;
;
;
;
",,5.04,55.65,0,1.34,0,0
aten::_to_copy,"1,544;
;
;
;
;
;
",,8.61,50.61,0,1.34,0,0
aten::empty_strided,";
;
;
;
;
",,10.17,15.17,0,0,0,0
empty_tensor,,,5.0,5.0,0,0,0,0
aten::copy_,"1,544;
1,544;
",,20.43,26.83,0,1.34,0,0
aclnnInplaceCopy,,,6.4,6.4,1.34,1.34,0,0
aten::sum,"1,544;
;
;
",,18.35,44.38,0,5.72,0,0
aten::sum,"1,544;
;
;
",,16.13,26.03,0,5.72,0,0
empty_tensor,,,4.13,4.13,0,0,0,0
aclnnReduceSum,,,5.77,5.77,5.72,5.72,0,0
aten::le,"1;
",,15.79,22.76,0,2.52,0,0
empty_tensor,,,2.92,2.92,0,0,0,0
aclnnLeScalar,,,4.05,4.05,2.52,2.52,0,0
aten::any,1,,13.63,21.73,0,1.46,0,0
empty_tensor,,,4.4,4.4,0,0,0,0
aclnnAny,,,3.7,3.7,1.46,1.46,0,0
aten::is_nonzero,,,3.09,166.08,0,0,0,0
aten::item,,,2.06,162.99,0,0,0,0
aten::_local_scalar_dense,,,160.93,160.93,0,0,0,0
aten::max,1,,15.07,23.87,0,1.72,0,0
empty_tensor,,,4.42,4.42,0,0,0,0
aclnnMax,,,4.38,4.38,1.72,1.72,0,0
aten::item,,,1.86,89.48,0,0,0,0
aten::_local_scalar_dense,,,87.62,87.62,0,0,0,0
aten::arange,";
;
;
;
",,21.15,29.82,0,4.62,0,0
empty_tensor,,,4.05,4.05,0,0,0,0
aclnnArange,,,4.62,4.62,4.62,4.62,0,0
aten::slice,"1;
;
;
;
",,9.52,16.38,0,0,0,0
aten::as_strided,"1;
;
;
",,6.86,6.86,0,0,0,0
aten::zero_,1,,51.72,56.27,0,1.44,0,0
aclnnInplaceZero,,,4.55,4.55,1.44,1.44,0,0
aten::to,"1,544;
;
;
;
",,3.03,35.62,0,1.28,0,0
aten::_to_copy,"1,544;
;
;
;
;
;
",,5.93,32.59,0,1.28,0,0
aten::empty_strided,";
;
;
;
;
",,6.66,9.05,0,0,0,0
empty_tensor,,,2.39,2.39,0,0,0,0
aten::copy_,"1,544;
1,544;
",,11.95,17.61,0,1.28,0,0
aclnnInplaceCopy,,,5.66,5.66,1.28,1.28,0,0
aten::cumsum,"1,544;
;
",,13.92,142.32,0,82.32175,0,0
aten::cumsum,"1,544;
;
",,119.01,128.4,0,82.32175,0,0
empty_tensor,,,4.26,4.26,0,0,0,0
aclnnCumsum,,,5.13,5.13,82.32175,82.32175,0,0
aten::sub,"1,544;
;
",,21.58,32.14,0,3.24,0,0
empty_tensor,,,4.15,4.15,0,0,0,0
aten::item,,,1.58,4.39,0,0,0,0
aten::_local_scalar_dense,,,2.81,2.81,0,0,0,0
aclnnSubs,,,2.02,2.02,3.24,3.24,0,0
aten::clamp_min,"1,544;
",,29.09,39.24,0,5.7,0,0
empty_tensor,,,3.72,3.72,0,0,0,0
aclnnClampMin,,,6.43,6.43,5.7,5.7,0,0
aten::lt,"1,544;
",,15.38,20.95,0,3.14,0,0
empty_tensor,,,3.61,3.61,0,0,0,0
aclnnLtScalar,,,1.96,1.96,3.14,3.14,0,0
aten::any,"1,544",,14.11,20.52,0,3.1,0,0
empty_tensor,,,3.82,3.82,0,0,0,0
aclnnAny,,,2.59,2.59,3.1,3.1,0,0
aten::is_nonzero,,,2.48,70.0,0,0,0,0
aten::item,,,1.74,67.52,0,0,0,0
aten::_local_scalar_dense,,,65.78,65.78,0,0,0,0
aten::ge,"1,544;
",,31.74,40.88,0,3.22,0,0
empty_tensor,,,4.19,4.19,0,0,0,0
aclnnGeScalar,,,4.95,4.95,3.22,3.22,0,0
aten::any,"1,544",,11.09,16.29,0,2.54,0,0
empty_tensor,,,3.4,3.4,0,0,0,0
