Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,BroadcastTo_Tiling,161.9,4,40.475,18.39,55.44,217.107
host,acl,IndexCheck_Tiling,5890.94,1288,4.574,0.14,58.46,26.585
host,acl,IndexPutV2_Tiling,45.13,4,11.282,8.24,14.85,8.756
host,acl,NonZero_Tiling,5049.55,1664,3.035,0.19,98.85,18.714
host,communication,Notify_Record,13850.99,524,26.433,20.69,62.28,20.321
host,communication,Notify_Wait,8831.01,524,16.853,13.34,69.79,14.301
host,acl,Slice_Tiling,4588.65,512,8.962,1.82,93.48,181.107
host,acl,Transpose_Tiling,424.11,128,3.313,0.4,22.18,11.144
host,acl,aclmdlRICaptureGetInfo,1448.62,5504,0.263,0.12,2.68,0.031
host,acl,aclnnAdd,10994.86,1027,10.706,5.03,363.46,179.993
host,acl,aclnnAdds,9571.75,1028,9.311,5.22,83.07,12.326
host,acl,aclnnAny,160.5,11,14.591,8.55,23.52,24.942
host,acl,aclnnArange,3823.37,390,9.804,6.92,25.85,4.516
host,acl,aclnnArgMax,75.25,4,18.813,14.57,24.34,15.698
host,acl,aclnnBitwiseAndTensor,722.67,68,10.628,7.8,24.18,7.871
host,acl,aclnnBitwiseNot,105.59,9,11.732,7.91,18.18,9.387
host,acl,aclnnCat,8342.98,520,16.044,8.57,365.59,248.292
host,acl,aclnnClampMin,11.12,1,11.12,11.12,11.12,0
host,acl,aclnnConstantPadNd,223.62,12,18.635,12.16,46.08,75.921
host,acl,aclnnCos,39.04,4,9.76,6.94,12.15,4.344
host,acl,aclnnCumsum,24.56,1,24.56,24.56,24.56,0
host,acl,aclnnCumsumGetWorkspaceSize,34.77,1,34.77,34.77,34.77,0
host,acl,aclnnEmbedding,51.33,4,12.833,9.75,16.53,6.397
host,acl,aclnnFlashAttentionScore,4752.43,256,18.564,12.69,59.43,41.418
host,acl,aclnnGeScalar,95.69,8,11.961,8.36,16.27,6.108
host,acl,aclnnIndex,50546.68,1604,31.513,9.47,802.8,2628.138
host,acl,aclnnIndexGetWorkspaceSize,10812.83,128,84.475,54.27,254.44,485.368
host,acl,aclnnIndexPutImpl,21870.85,516,42.385,25.91,290.67,343.157
host,acl,aclnnIndexPutImplGetWorkspaceSize,20404.8,516,39.544,24.51,103.81,77.873
host,acl,aclnnInplaceCopy,20019.15,2161,9.264,4.55,307.5,126.916
host,acl,aclnnInplaceCopyGetWorkspaceSize,344.1,21,16.386,6.43,37.5,88.362
host,acl,aclnnInplaceFillScalar,115.87,2,57.935,19.58,96.29,1471.106
host,acl,aclnnInplaceMaskedFillScalar,171.69,9,19.077,9.88,40.72,94.657
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,94.63,5,18.926,14.54,24.5,12.025
host,acl,aclnnInplaceOne,679.6,67,10.143,7.46,29.34,8.249
host,acl,aclnnInplaceZero,64.17,5,12.834,8.51,21.11,18.69
host,acl,aclnnLeScalar,29.28,2,14.64,10.99,18.29,13.322
host,acl,aclnnLogicalNot,2368.23,256,9.251,6.27,27.08,6.644
