Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,48,5,0.020,1789111937673496.675	,1789111937673496.695	
0,Fill_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,579,2.040,1789111937684356.255	,1789111937684358.295	
0,ZerosLike_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,580,1.760,1789111937684384.595	,1789111937684386.355	
0,N/A,MEMCPY_ASYNC,47,581,0.800,1789111937684736.655	,1789111937684737.455	
0,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,582,1.600,1789111937684792.975	,1789111937684794.575	
0,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,583,1.420,1789111937684869.815	,1789111937684871.235	
0,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,584,1.680,1789111937684872.295	,1789111937684873.975	
0,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,585,1.640,1789111937684883.935	,1789111937684885.575	
0,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,586,1.500,1789111937685059.935	,1789111937685061.435	
0,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,587,2.460,1789111937685147.775	,1789111937685150.235	
0,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,AI_VECTOR_CORE,47,588,3.020,1789111937685188.675	,1789111937685191.695	
0,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_1000500,MIX_AIV,47,589,1.500,1789111937685221.555	,1789111937685223.055	
0,Range_a32d70ed63082227463347a44bd5a08e_high_performance__kernel0,AI_VECTOR_CORE,47,590,10.340,1789111937685724.795	,1789111937685735.135	
0,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,591,1.380,1789111937685903.335	,1789111937685904.715	
0,N/A,MEMCPY_ASYNC,47,592,0.760,1789111937686236.675	,1789111937686237.435	
0,MaskedFill,AI_CPU,47,593,86.600,1789111937686285.035	,1789111937686371.635	
0,ArgMaxWithValue_65b8831ee054f9f32f9460360bd29bf1_high_performance_5,AI_VECTOR_CORE,47,594,2.280,1789111937686371.675	,1789111937686373.955	
0,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,AI_VECTOR_CORE,47,595,1.200,1789111937686373.975	,1789111937686375.175	
0,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,AI_VECTOR_CORE,47,596,3.260,1789111937686375.195	,1789111937686378.455	
0,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_1000500,MIX_AIV,47,597,1.420,1789111937686379.935	,1789111937686381.355	
0,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,598,1.420,1789111937686521.715	,1789111937686523.135	
0,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,599,2.260,1789111937686572.795	,1789111937686575.055	
0,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_1000500,MIX_AIV,47,600,1.680,1789111937686632.175	,1789111937686633.855	
0,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,601,1.220,1789111937687628.395	,1789111937687629.615	
0,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,602,2.060,1789111937687716.015	,1789111937687718.075	
0,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,AI_VECTOR_CORE,47,603,2.500,1789111937687780.795	,1789111937687783.295	
0,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_1000500,MIX_AIV,47,604,1.200,1789111937687834.015	,1789111937687835.215	
0,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_1000500,MIX_AIV,47,605,1.340,1789111937688015.575	,1789111937688016.915	
0,Range_a32d70ed63082227463347a44bd5a08e_high_performance__kernel0,AI_VECTOR_CORE,47,606,4.360,1789111937688203.255	,1789111937688207.615	
0,ZerosLike_1d2fd313763487259859439d7e9b41cf_high_performance_210000000,AI_VECTOR_CORE,47,607,1.840,1789111937688294.555	,1789111937688296.395	
0,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,608,1.240,1789111937688346.275	,1789111937688347.515	
0,Cumsum,AI_CPU,47,609,59.960,1789111937688495.875	,1789111937688555.835	
0,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,610,2.940,1789111937688563.115	,1789111937688566.055	
