Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,1796,112560.08,7.52,62.672,605.42,26.645
0,allreduceAicpuKernel,AI_CPU,516,102251.14,156.88,198.161,519.96,24.204
0,IndexPut,AI_CPU,512,79427.44,130.86,155.131,215.62,18.802
0,Index,AI_CPU,128,25128.56,167.54,196.316,368.54,5.948
0,FlashAttentionScore,MIX_AIC,256,17379.86,61.46,67.89,83.2,4.114
0,Mul,AI_VECTOR_CORE,3340,14462.08,1.38,4.329,14.48,3.423
0,Index,AI_VECTOR_CORE,1476,12159.6,6.74,8.238,14.64,2.878
0,Pows,AI_VECTOR_CORE,1028,7041.14,1.74,6.849,16.84,1.667
0,ReduceMean,MIX_AIV,1028,6475.54,1.86,6.299,14.32,1.533
0,MemSet,AI_VECTOR_CORE,844,6186.86,5.42,7.33,17.22,1.465
0,Transpose,AI_VECTOR_CORE,320,5124,12.58,16.012,26.84,1.213
0,IndexCheck,AI_VECTOR_CORE,2120,5074.8,1.84,2.393,3.9,1.201
0,Slice,AI_VECTOR_CORE,2048,4596.02,1.34,2.244,3.52,1.088
0,Cast,AI_VECTOR_CORE,2082,4282.08,1.08,2.056,7.56,1.014
0,Add,AI_VECTOR_CORE,2055,4069.58,1.12,1.98,7.98,0.963
0,Range,AI_VECTOR_CORE,390,3140.9,4.3,8.053,11.98,0.743
0,NonZero,MIX_AIV,832,2824.22,2.74,3.394,6.08,0.669
0,ConcatD,AI_VECTOR_CORE,520,2208.9,3.84,4.247,17.5,0.523
0,Rsqrt,AI_VECTOR_CORE,1028,1282.52,1.06,1.247,1.88,0.304
0,Swish,AI_VECTOR_CORE,256,1101.44,2.86,4.302,10.26,0.261
0,AsStrided,AI_VECTOR_CORE,256,1061.12,3.2,4.145,6.24,0.251
0,Neg,AI_VECTOR_CORE,512,906.36,1.18,1.77,3.48,0.215
0,broadcastAicpuKernel,AI_CPU,4,709.52,171.38,177.38,182.58,0.168
0,allgatherAicpuKernel,AI_CPU,4,663.28,140.24,165.82,181.7,0.157
0,Less,AI_VECTOR_CORE,201,561.18,2.34,2.791,3.24,0.133
0,LogicalNot,AI_VECTOR_CORE,265,397.18,1.28,1.498,1.78,0.094
0,MaskedFill,AI_CPU,5,368.62,56.22,73.724,84.58,0.087
0,LogicalAnd,AI_VECTOR_CORE,68,211.16,1.46,3.105,3.74,0.05
0,Tril,AI_VECTOR_CORE,64,179.86,2.58,2.81,3.14,0.043
0,PadV3,MIX_AIV,12,161.52,9.44,13.46,19.1,0.038
0,OnesLike,AI_VECTOR_CORE,67,111.44,1.56,1.663,1.9,0.026
0,ArgMaxV2,AI_VECTOR_CORE,4,78.76,19.52,19.69,19.94,0.019
0,Cumsum,AI_CPU,1,56.98,56.98,56.98,56.98,0.013
0,GatherV2,AI_VECTOR_CORE,4,37.2,3.74,9.3,11.72,0.009
0,MaskedFill,AI_VECTOR_CORE,4,26.34,3.38,6.585,15.94,0.006
0,GreaterEqual,AI_VECTOR_CORE,8,22.04,2.32,2.755,3.44,0.005
0,ReduceAny,MIX_AIV,11,17.62,1.26,1.601,3.14,0.004
0,ReduceMax,MIX_AIV,9,16.28,1.4,1.808,2.24,0.004
0,Sub,AI_VECTOR_CORE,5,13,2.28,2.6,3.06,0.003
0,IndexPutV2,AI_VECTOR_CORE,4,9.34,2.16,2.335,2.54,0.002
0,ZerosLike,AI_VECTOR_CORE,5,9.2,1.64,1.84,2,0.002
0,Sin,AI_VECTOR_CORE,4,8.9,2.16,2.225,2.32,0.002
0,Cos,AI_VECTOR_CORE,4,8.86,2.06,2.215,2.48,0.002
0,BroadcastTo,AI_VECTOR_CORE,5,8.04,1.44,1.608,1.86,0.002
0,SelectV2,AI_VECTOR_CORE,3,7.4,2.16,2.466,2.86,0.002
0,ReduceSum,MIX_AIV,3,6.98,1.94,2.326,2.58,0.002
0,ClipByValueV2,AI_VECTOR_CORE,1,5.32,5.32,5.32,5.32,0.001
0,LessEqual,AI_VECTOR_CORE,2,5.06,2.36,2.53,2.7,0.001
0,Fill,AI_VECTOR_CORE,2,3.7,1.66,1.85,2.04,0.001
0,ArgMaxWithValue,AI_VECTOR_CORE,1,2.3,2.3,2.3,2.3,0.001
