Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,37.8,118.23,0,2.08,0,0
empty_tensor,,,17.58,17.58,0,0,0,0
aten::fill_,"1,6;
",,51.12,62.85,0,2.08,0,0
aclnnInplaceFillScalar,,,11.73,11.73,2.08,2.08,0,0
aten::zeros_like,"1,6;
;
;
;
;
",,21.1,80.36,0,1.6,0,0
aten::empty_like,"1,6;
;
;
;
;
",,11.76,39.23,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,23.49,27.47,0,0,0,0
empty_tensor,,,3.98,3.98,0,0,0,0
aten::zero_,"1,6",,17.95,20.03,0,1.6,0,0
aclnnInplaceZero,,,2.08,2.08,1.6,1.6,0,0
aten::empty,";
;
;
;
;
",,8.22,8.22,0,0,0,0
aten::to,"6;
;
;
;
;
",,4.89,86.14,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,7.98,81.25,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.71,8.11,0,0,0,0
empty_tensor,,,2.4,2.4,0,0,0,0
aten::copy_,"6;
6;
",,65.16,65.16,0,0,0,0
aten::lift_fresh,6,,16.11,16.11,0,0,0,0
aten::detach_,6,,0.98,0.98,0,0,0,0
aten::select,"1,6;
;
",,7.32,25.27,0,0,0,0
aten::as_strided,"1,6;
;
;
",,17.95,17.95,0,0,0,0
aten::copy_,"6;
6;
",,64.51,72.33,0,0.78,0,0
aclnnInplaceCopy,,,7.82,7.82,0.78,0.78,0,0
aten::scalar_tensor,";
;
;
;
",,19.26,49.83,0,1.54,0,0
aten::empty,";
;
;
;
;
",,3.24,10.26,0,0,0,0
empty_tensor,,,7.02,7.02,0,0,0,0
aten::fill_,";
",,15.2,20.31,0,1.54,0,0
aclnnInplaceFillScalar,,,5.11,5.11,1.54,1.54,0,0
aten::select,"1,6;
;
",,4.33,8.44,0,0,0,0
aten::as_strided,"1,6;
;
;
",,4.11,4.11,0,0,0,0
aten::view,";
",,3.42,3.42,0,0,0,0
aten::expand,";
;
",,3.7,6.32,0,0,0,0
aten::as_strided,";
;
;
",,2.62,2.62,0,0,0,0
aten::copy_,"6;
6;
",,16.29,21.13,0,4.48,0,0
aclnnInplaceCopy,,,4.84,4.84,4.48,4.48,0,0
minigpt::prefill_phase,,,115.0,188349.73,0,201638.1755,0,28353.38425
minigpt::prefill_model,,,43697.63,187663.79,0,201210.24725,0,28353.38425
aten::to,"1,6;
;
;
;
",,4.61,41.37,0,1.76,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,5.74,36.76,0,1.76,0,0
aten::empty_strided,";
;
;
;
;
",,6.68,10.0,0,0,0,0
empty_tensor,,,3.32,3.32,0,0,0,0
aten::copy_,"1,6;
1,6;
",,15.1,21.02,0,1.76,0,0
aclnnInplaceCopy,,,5.92,5.92,1.76,1.76,0,0
aten::sum,"1,6;
;
;
",,17.21,22.55,0,2.98,0,0
empty_tensor,,,3.85,3.85,0,0,0,0
aclnnReduceSum,,,1.49,1.49,2.98,2.98,0,0
aten::le,"1;
",,11.2,16.27,0,2.64,0,0
empty_tensor,,,2.67,2.67,0,0,0,0
aclnnLeScalar,,,2.4,2.4,2.64,2.64,0,0
aten::any,1,,11.89,16.36,0,1.42,0,0
empty_tensor,,,2.93,2.93,0,0,0,0
aclnnAny,,,1.54,1.54,1.42,1.42,0,0
aten::is_nonzero,,,22.08,104.78,0,0,0,0
aten::item,,,4.08,82.7,0,0,0,0
aten::_local_scalar_dense,,,78.62,78.62,0,0,0,0
aten::arange,";
;
;
;
",,18.01,27.38,0,7.72,0,0
empty_tensor,,,4.89,4.89,0,0,0,0
aclnnArange,,,4.48,4.48,7.72,7.72,0,0
aten::expand_as,"6;
1,6",,4.25,12.6,0,0,0,0
aten::expand,"6;
;
",,4.51,8.35,0,0,0,0
aten::as_strided,"6;
;
;
",,3.84,3.84,0,0,0,0
aten::to,"1,6;
;
;
;
",,2.24,2.24,0,0,0,0
aten::bitwise_not,"1,6",,27.39,35.15,0,1.38,0,0
empty_tensor,,,3.83,3.83,0,0,0,0
aclnnBitwiseNot,,,3.93,3.93,1.38,1.38,0,0
aten::masked_fill,"1,6;
1,6;
",,36.01,122.42,0,92.74175,0,0
aten::clone,"1,6;
",,4.58,46.01,0,0.74,0,0
empty_tensor,,,3.64,3.64,0,0,0,0
aten::copy_,"1,6;
1,6;
",,33.31,37.79,0,0.74,0,0
aclnnInplaceCopy,,,4.48,4.48,0.74,0.74,0,0
aten::masked_fill_,"1,6;
1,6;
",,35.08,40.4,0,92.00175,0,0
aclnnInplaceMaskedFillScalar,,,5.32,5.32,92.00175,92.00175,0,0
aten::max,"1,6;
;
",,17.78,28.48,0,3.5402500000000003,0,0
empty_tensor,,,4.21,4.21,0,0,0,0
empty_tensor,,,2.76,2.76,0,0,0,0
