Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,60.6,187.61,0,1.98,0,0
empty_tensor,,,24.04,24.04,0,0,0,0
aten::fill_,"1,6;
",,84.47,102.97,0,1.98,0,0
aclnnInplaceFillScalar,,,18.5,18.5,1.98,1.98,0,0
aten::zeros_like,"1,6;
;
;
;
;
",,30.66,120.61,0,1.56,0,0
aten::empty_like,"1,6;
;
;
;
;
",,24.64,47.69,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,16.94,23.05,0,0,0,0
empty_tensor,,,6.11,6.11,0,0,0,0
aten::zero_,"1,6",,30.39,42.26,0,1.56,0,0
aclnnInplaceZero,,,11.87,11.87,1.56,1.56,0,0
aten::empty,";
;
;
;
;
",,12.21,12.21,0,0,0,0
aten::to,"6;
;
;
;
;
",,4.6,104.92,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,13.16,100.32,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,8.08,11.43,0,0,0,0
empty_tensor,,,3.35,3.35,0,0,0,0
aten::copy_,"6;
6;
",,75.73,75.73,0,0,0,0
aten::lift_fresh,6,,15.59,15.59,0,0,0,0
aten::detach_,6,,1.4,1.4,0,0,0,0
aten::select,"1,6;
;
",,8.65,33.12,0,0,0,0
aten::as_strided,"1,6;
;
;
",,24.47,24.47,0,0,0,0
aten::copy_,"6;
6;
",,87.73,99.51,0,0.76,0,0
aclnnInplaceCopy,,,11.78,11.78,0.76,0.76,0,0
aten::scalar_tensor,";
;
;
;
",,7.96,48.3,0,1.4,0,0
aten::empty,";
;
;
;
;
",,4.3,13.0,0,0,0,0
empty_tensor,,,8.7,8.7,0,0,0,0
aten::fill_,";
",,16.63,27.34,0,1.4,0,0
aclnnInplaceFillScalar,,,10.71,10.71,1.4,1.4,0,0
aten::select,"1,6;
;
",,4.95,9.23,0,0,0,0
aten::as_strided,"1,6;
;
;
",,4.28,4.28,0,0,0,0
aten::view,";
",,5.48,5.48,0,0,0,0
aten::expand,";
;
",,5.41,8.13,0,0,0,0
aten::as_strided,";
;
;
",,2.72,2.72,0,0,0,0
aten::copy_,"6;
6;
",,21.11,29.86,0,4.22,0,0
aclnnInplaceCopy,,,8.75,8.75,4.22,4.22,0,0
minigpt::prefill_phase,,,129.46,271053.33,0,353804.38425,0,10081.64525
minigpt::prefill_model,,,47439.13,270043.07,0,352655.80175,0,10081.64525
aten::to,"1,6;
;
;
;
",,5.15,57.55,0,1.38,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,6.57,52.4,0,1.38,0,0
aten::empty_strided,";
;
;
;
;
",,8.65,13.38,0,0,0,0
empty_tensor,,,4.73,4.73,0,0,0,0
aten::copy_,"1,6;
1,6;
",,22.03,32.45,0,1.38,0,0
aclnnInplaceCopy,,,10.42,10.42,1.38,1.38,0,0
aten::sum,"1,6;
;
;
",,22.13,36.24,0,3.04025,0,0
empty_tensor,,,5.09,5.09,0,0,0,0
aclnnReduceSum,,,9.02,9.02,3.04025,3.04025,0,0
aten::le,"1;
",,20.17,27.85,0,2.88025,0,0
empty_tensor,,,3.45,3.45,0,0,0,0
aclnnLeScalar,,,4.23,4.23,2.88025,2.88025,0,0
aten::any,1,,19.5,34.15,0,1.58025,0,0
empty_tensor,,,3.93,3.93,0,0,0,0
aclnnAny,,,10.72,10.72,1.58025,1.58025,0,0
aten::is_nonzero,,,19.78,164.9,0,0,0,0
aten::item,,,7.9,145.12,0,0,0,0
aten::_local_scalar_dense,,,137.22,137.22,0,0,0,0
aten::arange,";
;
;
;
",,24.11,39.91,0,8.62025,0,0
empty_tensor,,,6.52,6.52,0,0,0,0
aclnnArange,,,9.28,9.28,8.62025,8.62025,0,0
aten::expand_as,"6;
1,6",,4.16,13.69,0,0,0,0
aten::expand,"6;
;
",,4.86,9.53,0,0,0,0
aten::as_strided,"6;
;
;
",,4.67,4.67,0,0,0,0
aten::to,"1,6;
;
;
;
",,3.03,3.03,0,0,0,0
aten::bitwise_not,"1,6",,28.78,43.31,0,1.48,0,0
empty_tensor,,,4.53,4.53,0,0,0,0
aclnnBitwiseNot,,,10.0,10.0,1.48,1.48,0,0
