Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,allreduceAicpuKernel,AI_CPU,516,102484.132,160.403,198.613,450.769,33.237
2,IndexPut,AI_CPU,512,69293.864,98.562,135.34,173.943,22.473
2,MatMulV2,AI_CORE,1796,40324.472,9.68,22.452,165.443,13.078
2,Index,AI_CPU,128,15927.338,113.982,124.432,238.325,5.165
2,Index,AI_VECTOR_CORE,1476,12237.372,6.72,8.291,16.76,3.969
2,Mul,AI_VECTOR_CORE,3340,11557.243,1.1,3.46,16.72,3.748
2,FlashAttentionScore,MIX_AIC,256,7197.645,23.801,28.116,37.881,2.334
2,MemSet,AI_VECTOR_CORE,868,6418.05,5.38,7.394,18.921,2.081
2,Pows,AI_VECTOR_CORE,1028,5543.611,1.46,5.393,15.461,1.798
2,IndexCheck,AI_VECTOR_CORE,2120,5076.596,1.86,2.395,4.12,1.646
2,ReduceMean,MIX_AIV,1028,4828.761,2.6,4.697,8.36,1.566
2,Add,AI_VECTOR_CORE,2055,3899.498,1.18,1.898,9.36,1.265
2,Cast,AI_VECTOR_CORE,2078,3883.443,0.98,1.869,8.16,1.259
2,Slice,AI_VECTOR_CORE,1408,3377.128,1.82,2.399,3.16,1.095
2,NonZero,MIX_AIV,832,2686.035,2.7,3.228,6.3,0.871
2,Range,AI_VECTOR_CORE,390,2294.169,4.8,5.882,9.281,0.744
2,ConcatD,AI_VECTOR_CORE,520,2130.621,3.5,4.097,15.3,0.691
2,Transpose,AI_VECTOR_CORE,128,2099.321,14.741,16.401,21.801,0.681
2,Rsqrt,AI_VECTOR_CORE,1028,1303.367,1.08,1.268,1.88,0.423
2,allgatherAicpuKernel,AI_CPU,4,838.597,168.223,209.649,285.566,0.272
2,Neg,AI_VECTOR_CORE,512,717.335,1.18,1.401,2.06,0.233
2,broadcastAicpuKernel,AI_CPU,4,677.253,133.943,169.313,260.985,0.22
2,Swish,AI_VECTOR_CORE,256,591.69,1.48,2.311,5.3,0.192
2,AsStrided,AI_VECTOR_CORE,128,512.388,3.36,4.003,5.78,0.166
2,Less,AI_VECTOR_CORE,201,502.011,2.12,2.498,3.06,0.163
2,MaskedFill,AI_CPU,5,433.049,72.862,86.61,98.222,0.14
2,PadV3,MIX_AIV,36,405.808,9.2,11.272,19.521,0.132
2,LogicalNot,AI_VECTOR_CORE,265,377.067,1.2,1.423,1.82,0.122
2,LogicalAnd,AI_VECTOR_CORE,68,183.325,1.46,2.696,3.5,0.059
2,Tril,AI_VECTOR_CORE,64,166.004,2.2,2.594,3.42,0.054
2,OnesLike,AI_VECTOR_CORE,67,108.282,1.38,1.616,1.92,0.035
2,Cumsum,AI_CPU,1,62.862,62.862,62.862,62.862,0.02
2,GatherV2,AI_VECTOR_CORE,4,29.441,3.34,7.36,8.8,0.01
2,MaskedFill,AI_VECTOR_CORE,4,27.461,3.38,6.865,16.741,0.009
2,GreaterEqual,AI_VECTOR_CORE,8,21.441,2.4,2.68,3.04,0.007
2,ReduceAny,MIX_AIV,11,18.421,1.18,1.675,3.26,0.006
2,ReduceMax,MIX_AIV,9,16.74,1.44,1.86,2.1,0.005
2,ZerosLike,AI_VECTOR_CORE,9,14.781,1.44,1.642,1.9,0.005
2,Sub,AI_VECTOR_CORE,5,12.94,2.34,2.588,2.94,0.004
2,IndexPutV2,AI_VECTOR_CORE,4,9.14,2.16,2.285,2.36,0.003
2,Cos,AI_VECTOR_CORE,4,8.9,2.08,2.225,2.52,0.003
2,Sin,AI_VECTOR_CORE,4,8.54,2,2.135,2.32,0.003
2,BroadcastTo,AI_VECTOR_CORE,5,7.36,1.36,1.472,1.54,0.002
2,ReduceSum,MIX_AIV,3,7.14,2,2.38,2.9,0.002
2,SelectV2,AI_VECTOR_CORE,3,7,2.24,2.333,2.4,0.002
2,LessEqual,AI_VECTOR_CORE,2,5.18,2.28,2.59,2.9,0.002
2,ClipByValueV2,AI_VECTOR_CORE,1,4.94,4.94,4.94,4.94,0.002
2,Fill,AI_VECTOR_CORE,2,3.78,1.34,1.89,2.44,0.001
2,ArgMaxWithValue,AI_VECTOR_CORE,1,2.3,2.3,2.3,2.3,0.001
