Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,N/A,PROFILING_ENABLE,48,5,0.000,1789112272507426.585	,1789112272507426.585	
3,Fill_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,35522,2.180,1789112272517257.101	,1789112272517259.281	
3,ZerosLike_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,35523,1.980,1789112272517300.602	,1789112272517302.582	
3,N/A,MEMCPY_ASYNC,47,35524,0.920,1789112272517696.070	,1789112272517696.990	
3,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,35525,1.440,1789112272517772.252	,1789112272517773.692	
3,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,35526,1.220,1789112272517799.912	,1789112272517801.132	
3,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,35527,1.500,1789112272517830.313	,1789112272517831.813	
3,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,35528,1.380,1789112272517832.953	,1789112272517834.333	
3,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,35529,1.600,1789112272517976.836	,1789112272517978.436	
3,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,35530,2.840,1789112272518044.897	,1789112272518047.737	
3,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,AI_VECTOR_CORE,47,35531,2.760,1789112272518077.818	,1789112272518080.578	
3,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_1000500,MIX_AIV,47,35532,1.720,1789112272518121.639	,1789112272518123.359	
3,Range_a32d70ed63082227463347a44bd5a08e_high_performance__kernel0,AI_VECTOR_CORE,47,35533,7.860,1789112272518265.682	,1789112272518273.542	
3,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,35534,1.440,1789112272518341.643	,1789112272518343.083	
3,N/A,MEMCPY_ASYNC,47,35535,0.720,1789112272518404.244	,1789112272518404.964	
3,MaskedFill,AI_CPU,47,35536,103.322,1789112272518504.846	,1789112272518608.168	
