Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,BroadcastTo_Tiling,119.32,4,29.83,19.95,38.73,45.875
host,acl,IndexCheck_Tiling,4186.21,1288,3.25,0.12,39.44,12.184
host,acl,IndexPutV2_Tiling,49.01,4,12.253,10.24,17.72,10.013
host,acl,NonZero_Tiling,3868.72,1664,2.325,0.19,75.37,8.29
host,communication,Notify_Record,13047.96,524,24.901,19.75,71.95,19.993
host,communication,Notify_Wait,7870.7,524,15.02,12.68,134.6,29.774
host,acl,Slice_Tiling,2097.22,512,4.096,1.79,36.57,25.338
host,acl,aclmdlRICaptureGetInfo,1488.09,5504,0.27,0.12,2.73,0.034
host,acl,aclnnAdd,9224.97,1027,8.982,5.65,74.47,12.353
host,acl,aclnnAdds,7672.99,1028,7.464,5.13,52.9,5.248
host,acl,aclnnAny,134.57,11,12.234,8.06,23.62,29.413
host,acl,aclnnArange,3580.67,390,9.181,6.71,32.34,2.435
host,acl,aclnnBitwiseAndTensor,583.78,68,8.585,7.52,22.26,6.152
host,acl,aclnnBitwiseNot,91.65,9,10.183,6.78,23.88,25.843
host,acl,aclnnCat,6196.07,520,11.916,5.87,81.99,25.72
host,acl,aclnnClampMin,27.9,1,27.9,27.9,27.9,0
host,acl,aclnnConstantPadNd,511.06,36,14.196,10.37,36.8,19.743
host,acl,aclnnCos,36.3,4,9.075,8.19,10.08,0.735
host,acl,aclnnCumsum,30.87,1,30.87,30.87,30.87,0
host,acl,aclnnCumsumGetWorkspaceSize,30.8,1,30.8,30.8,30.8,0
host,acl,aclnnEmbedding,48.86,4,12.215,10.56,14.8,2.851
host,acl,aclnnFlashAttentionScore,4543.14,256,17.747,12.75,354.17,464.663
host,acl,aclnnGeScalar,112.03,8,14.004,9.53,26.06,36.748
host,acl,aclnnIndex,35292.63,1604,22.003,9.66,153.04,540.58
host,acl,aclnnIndexGetWorkspaceSize,6856.87,128,53.569,42.21,114.93,123.176
